"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,187.164629810098,162,218
2024,100,175.091158110991,130,221
2025,100,163.269872520873,51,221
2026,100,152.250131693313,45,218
2027,100,141.743599705007,41,214
2028,100,131.719170595517,38,208
2029,100,122.372994969315,35,202
2030,100,113.452129480865,32.75,196
2031,100,105.151394632181,30,189
2032,100,97.2175836911002,28,181
2033,100,89.6681394368794,26,172
2034,100,82.5198132588827,24,164
2035,100,76.0315866410304,23,156
2036,100,69.7540364000316,21,147
2037,100,64.0463165380462,20,139
2038,100,58.4191139673927,18,130
2039,100,53.403508309848,17,121
2040,100,48.7751336687123,16,113
2041,100,44.3831353543867,15,104
2042,100,40.2836015487134,14,96
2043,100,36.4925461585061,13,87.4000000000015
2044,100,32.8676350514921,12,78
2045,100,29.5725498459188,11,68
2046,100,26.6372573550715,10,56
2047,100,23.8836094503121,10,40
2048,100,21.2397410909474,9,30
2049,100,18.9103563621039,8,26
2050,100,16.7501843706377,7,23
2051,100,14.8017554718571,7,20
2052,100,12.9561132035715,6,19
2022,125,250,250,250
2023,125,232.060093481556,200,273
2024,125,215.492243557352,76.45,275
2025,125,200.399191510864,61,274
2026,125,185.522801920162,54,270
2027,125,171.812721071248,49,262
2028,125,159.151275896918,45,256
2029,125,146.648105103588,41,247
2030,125,134.781695300657,38,238
2031,125,123.712266296109,35,228
2032,125,113.678423446185,32,216
2033,125,103.673736735725,30,204
2034,125,95.0024002021223,28,194
2035,125,86.8084638706417,26,183
2036,125,79.0603713996968,24,171
2037,125,71.7721576553815,22,159
2038,125,65.0387569479535,20,147
2039,125,58.9132390096008,19,136
2040,125,53.2761369378474,17,125
2041,125,48.2550909550278,16,114
2042,125,43.5818468923699,15,103
2043,125,39.1887695805963,14,93
2044,125,35.15266548762,13,83
2045,125,31.3541940373926,12,71
2046,125,27.9703638201112,11,57
2047,125,24.8482945932289,10,41
2048,125,22.1655128852956,9,32
2049,125,19.5890222334512,9,26
2050,125,17.3203890853967,8,23
2051,125,15.2576932794341,7,20.5
2052,125,13.3021096513391,6,19
2022,150,300,300,300
2023,150,277.566216717692,239,326
2024,150,256.131598478523,85.25,329
2025,150,237.045273216439,71,326
2026,150,218.354392800816,63.45,321
2027,150,200.834840894332,57,312
2028,150,185.57389368216,52,302
2029,150,169.784604323221,47,291
2030,150,155.547801280267,43,280
2031,150,142.779177103627,39,266
2032,150,129.783908525837,36,253
2033,150,118.18844512478,33,238
2034,150,107.869746729752,30,223
2035,150,98.1447954355692,28,211
2036,150,88.9293301790519,26,196
2037,150,80.6239910937935,23,180
2038,150,72.853047592541,21,165
2039,150,65.3190694869654,20,150
2040,150,59.0867195472678,18,138
2041,150,53.106155487522,17,124
2042,150,47.7264588551814,16,112
2043,150,42.8416597086928,15,100
2044,150,38.3824798218759,13,90
2045,150,33.7045412375916,12,76
2046,150,29.7727061879581,11,63
2047,150,26.1375591427776,10,47
2048,150,23.0184618239169,10,33
2049,150,20.3899248538826,9,27
2050,150,17.9471889785694,8,24
2051,150,15.6529826514519,7,21
2052,150,13.5186473698859,7,19
2022,175,350,350,350
2023,175,322.485284810127,278,382
2024,175,297.415625,96.975,383.1
2025,175,273.806091772152,81,379
2026,175,251.778797468354,73,371
2027,175,230.221518987342,66,362
2028,175,212.068829113924,60,350
2029,175,194.043314873418,54.975,339
2030,175,175.657159810127,49,322
2031,175,160.39980221519,44,307
2032,175,145.768512658228,40,290
2033,175,133.237935126582,36,278
2034,175,121.174050632911,32,262
2035,175,109.591693037975,29,242
2036,175,98.776542721519,27,223
2037,175,89.0195806962025,24,203
2038,175,79.9745253164557,22,188
2039,175,71.4356012658228,20,167
2040,175,63.8429984177215,18,148
2041,175,56.9474683544304,16.475,130
2042,175,50.6727848101266,15,116
2043,175,45.2066060126582,14,101
2044,175,40.2615110759494,13,92
2045,175,35.6650316455696,12,80
2046,175,31.3138844936709,11,68
2047,175,27.7397943037975,10,57
2048,175,23.9919699367089,9,37
2049,175,21.0135680379747,8.72500000000002,28
2050,175,18.1821202531646,8,24
2051,175,15.7009098101266,7,21
2052,175,13.5603243670886,6,19
2022,200,400,400,400
2023,200,368.776080286372,319,434
2024,200,337.450204551266,105,439
2025,200,312.421119918179,93,437
2026,200,286.515597034007,83,428
2027,200,262.465098440297,74,419
2028,200,240.81890820762,66,411
2029,200,218.371835847609,58.5,392
2030,200,198.997762720532,53,375
2031,200,181.287650217336,48,358
2032,200,165.276272053183,43,345
2033,200,150.545256967527,38,326
2034,200,134.559511633853,33,301
2035,200,121.228138583482,30,279
2036,200,108.613589874712,26,252
2037,200,97.2328049092304,22,226
2038,200,87.2806826898491,20.25,202
2039,200,78.441383277934,19,183
2040,200,69.7253899258502,17,161
2041,200,62.9687420097162,16,144
2042,200,55.9539120429558,15,124
2043,200,49.2335719764766,14,109
2044,200,43.6713756072616,13,97
2045,200,38.2439273843007,12,86
2046,200,33.4847225773459,11,75
2047,200,29.3407057018665,10,64
2048,200,25.0116338532345,9,48
2049,200,21.5884045001278,8,30
2050,200,18.5709537202761,8,25
2051,200,15.9571081564817,7,21
2052,200,13.5039631807722,6,19
