"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.310503839286,174,225
2024,100,198.638571919643,164,235
2025,100,197.979993928571,156,243
2026,100,197.303294866071,149,250
2027,100,196.633280758929,143,255
2028,100,195.968770669643,138,260
2029,100,195.293470803571,133,265
2030,100,194.622674017857,129,269
2031,100,193.952295178571,124,273
2032,100,193.303563348214,120,277
2033,100,192.631546741071,117,280
2034,100,191.968645848214,113,284
2035,100,191.305181383929,110,287
2036,100,190.643027678571,107,290
2037,100,189.965244285714,103,292
2038,100,189.313626785714,100,295
2039,100,188.647741785714,98,298
2040,100,187.997447767857,95,300
2041,100,187.343612946429,92,302
2042,100,186.677185044643,90,304
2043,100,186.021060535714,87,306
2044,100,185.348802678571,85,308
2045,100,184.684760133929,83,310
2046,100,184.030817008929,80,312
2047,100,183.361805892857,78,314
2048,100,182.713489375,76,316
2049,100,182.062718080357,74,317
2050,100,181.406929375,72,319
2051,100,180.749481116071,70,320
2052,100,180.094585892857,68,322
2022,125,250,250,250
2023,125,249.270114508929,218,281
2024,125,248.563007723214,205,294
2025,125,247.844179464286,195,304
2026,125,247.122290133929,187,312
2027,125,246.401540044643,180,319
2028,125,245.6962790625,173,326
2029,125,244.974551383929,167,332
2030,125,244.270556517857,162,337
2031,125,243.557948169643,157,342
2032,125,242.849983214286,152,347
2033,125,242.135844107143,147,352
2034,125,241.428858169643,143,356
2035,125,240.705373348214,139,360
2036,125,239.990154330357,135,363
2037,125,239.288796696429,131,367
2038,125,238.574291026786,128,370
2039,125,237.859483258929,124,374
2040,125,237.153741339286,121,377
2041,125,236.449911517857,118,380
2042,125,235.757621383929,114,383
2043,125,235.0410059375,111,385
2044,125,234.3270996875,109,388
2045,125,233.610507991071,106,391
2046,125,232.901208794643,103,393
2047,125,232.190962366071,100,395
2048,125,231.480632723214,98,398
2049,125,230.763942991071,95,400
2050,125,230.056867678571,93,402
2051,125,229.3589221875,91,404
2052,125,228.663367276786,88,406
2022,150,300,300,300
2023,150,299.233623526786,262,337
2024,150,298.469443214286,247,353
2025,150,297.687610446429,235,364
2026,150,296.895614196429,225,375
2027,150,296.127791741071,217,383
2028,150,295.344576919643,209,391
2029,150,294.565932723214,202,398
2030,150,293.798969866071,195,405
2031,150,293.043862723214,189,411
2032,150,292.279482410714,183,417
2033,150,291.5185875,178,422
2034,150,290.760917901786,173,428
2035,150,290.0111696875,168,432
2036,150,289.254606026786,163,437
2037,150,288.487749598214,159,441
2038,150,287.741997053571,155,446
2039,150,286.9648509375,151,449
2040,150,286.212081741071,147,453
2041,150,285.472750491071,143,457
2042,150,284.703035625,139,461
2043,150,283.951799821429,136,464
2044,150,283.205443660714,132,467
2045,150,282.450034107143,129,471
2046,150,281.682222008929,125,474
2047,150,280.932440758929,122,477
2048,150,280.159905803571,119,479
2049,150,279.377721160714,116,482
2050,150,278.629313794643,114,485
2051,150,277.871462232143,111,487
2052,150,277.117678660714,108,490
2022,175,350,350,350
2023,175,349.184832857143,306,393
2024,175,348.341172589286,288,411
2025,175,347.484107544643,275,425
2026,175,346.668744732143,263,437
2027,175,345.835829285714,253,447
2028,175,345.025959285714,244,456
2029,175,344.198605133929,236,465
2030,175,343.365781964286,229,472
2031,175,342.552453571429,222,480
2032,175,341.718196607143,215,486
2033,175,340.892740267857,209,493
2034,175,340.061043571429,203,499
2035,175,339.253608839286,198,505
2036,175,338.449438839286,192,510
2037,175,337.615407410714,187,515
2038,175,336.805675491071,182,520
2039,175,335.970617321429,177,525
2040,175,335.178642232143,173,530
2041,175,334.382874107143,168,534
2042,175,333.595362142857,164,538
2043,175,332.781763348214,160,542
2044,175,331.973197991071,156,546
2045,175,331.170361741071,152,550
2046,175,330.346764598214,148,554
2047,175,329.545715803571,145,557
2048,175,328.741840491071,141,560
2049,175,327.939243616071,138,564
2050,175,327.126713616071,135,567
2051,175,326.309605892857,132,570
2052,175,325.501675267857,128,573
2022,200,400,400,400
2023,200,399.134081160714,350,449
2024,200,398.2453946875,330,470
2025,200,397.370664642857,314,485
2026,200,396.510189419643,302,499
2027,200,395.657823571429,291,511
2028,200,394.775280178571,280,521
2029,200,393.898955758929,271,531
2030,200,393.049698392857,263,540
2031,200,392.157768214286,255,548
2032,200,391.28752625,247,556
2033,200,390.375488928571,240,563
2034,200,389.527292455357,233,570
2035,200,388.654370669643,227,577
2036,200,387.837595089286,221,583
2037,200,386.996917142857,215,589
2038,200,386.124393973214,209,595
2039,200,385.247421741071,204,600
2040,200,384.401995357143,199,606
2041,200,383.524006830357,194,611
2042,200,382.629061473214,189,616
2043,200,381.756275178571,184,620
2044,200,380.862146071429,180,625
2045,200,379.977795133929,176,629
2046,200,379.106194107143,171,633
2047,200,378.249201785714,167,638
2048,200,377.367024866071,163,642
2049,200,376.4947303125,160,646
2050,200,375.637025982143,156,649
2051,200,374.798769241071,152,653
2052,200,373.926689732143,149,656
