"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,182.77620124364,156,217
2024,100,166.701243640475,51.75,218
2025,100,151.927586206897,44,215
2026,100,138.250395703787,39.25,210
2027,100,125.915630299604,35,203
2028,100,114.140559638214,32,195
2029,100,102.80918598078,29,187
2030,100,93.5319106840023,26,178
2031,100,84.8217637083098,24,168
2032,100,76.6582249858677,22,159
2033,100,68.8749858677219,20,147
2034,100,61.3368004522329,18,136
2035,100,55.0295647258338,16,125
2036,100,49.4273318258903,15,115
2037,100,43.7907574901074,13.25,103
2038,100,39.2370548332391,12,93
2039,100,34.8758903335218,11,83
2040,100,31.1752685132843,10,74
2041,100,27.5334934991521,9,64
2042,100,24.3983041266252,8,55
2043,100,21.3649519502544,7,46
2044,100,18.6644431882419,7,39
2045,100,16.4046071226682,6,31
2046,100,14.2665630299604,5,23
2047,100,12.4584228377614,5,18
2048,100,10.9080836630865,4,15
2049,100,9.52826455624647,3,13
2050,100,8.16670435274166,3,11.4000000000001
2051,100,7.00195025438101,2,10
2052,100,5.94324477105709,2,9
2022,125,250,250,250
2023,125,227.852937468482,194,271
2024,125,206.794566313666,62,271
2025,125,187.058938477055,55,268.5
2026,125,168.893532526475,48,261
2027,125,152.362140695915,43,253
2028,125,137.721886031266,38.375,243
2029,125,124.008635905194,34.875,233
2030,125,111.255105900151,31,221
2031,125,100.113842662632,27,209.5
2032,125,90.3030131114473,24,197
2033,125,81.1442259203227,21,181
2034,125,72.6952849218356,19,169
2035,125,64.6343292990419,16,152
2036,125,57.3883005547151,14.75,136.5
2037,125,50.8527483610691,13,120
2038,125,45.2372037317196,12,107.5
2039,125,39.7336106908724,11,93
2040,125,35.066061522945,10,77.5
2041,125,31.1574634392335,9,66.875
2042,125,27.3413388804841,8,58
2043,125,23.6918809884014,7,48.875
2044,125,20.5929147755925,7,42.5
2045,125,17.8333963691377,6,36
2046,125,15.6819843671205,5,30
2047,125,13.5575516893596,5,22
2048,125,11.7129979828543,4,17
2049,125,9.93501008572869,3,14
2050,125,8.53441754916793,3,12
2051,125,7.14504538577912,2,10
2052,125,5.98884266263237,2,9
2022,150,300,300,300
2023,150,274.488685604237,234,330
2024,150,249.27888781897,74.15,332
2025,150,225.559460760713,64.9,327.4
2026,150,203.179706307174,58,318
2027,150,184.03346172364,51,311.4
2028,150,165.075589792971,46,299
2029,150,148.121449205585,41,288
2030,150,132.141309581127,35,276.4
2031,150,118.452214732788,29,258.4
2032,150,106.352551757342,24,245.4
2033,150,93.5226287915262,19,229
2034,150,82.3849301877708,17,206.4
2035,150,72.9605199807415,15,187
2036,150,65.3600144439095,13,168
2037,150,57.7158160808859,12,141.4
2038,150,51.0655994222436,11,123
2039,150,44.9359653346172,10,97
2040,150,39.6024313914299,9,85
2041,150,34.0246750120366,8,70
2042,150,29.2554164660568,7,60
2043,150,25.6598459316322,7,53
2044,150,22.1194029850746,6,45
2045,150,18.2484352431391,5,39
2046,150,16.0453779489649,5,33
2047,150,13.8496629754454,4,24.4000000000001
2048,150,11.7170197400096,3,17
2049,150,10.0878671160327,3,14
2050,150,8.52804525758305,2.30000000000001,12
2051,150,7.04802599903707,2,10
2052,150,5.72556571978816,1,9
2022,175,350,350,350
2023,175,323.627530364372,281.4,383
2024,175,288.991295546559,84.75,388
2025,175,260.112145748988,75,379.6
2026,175,237.326720647773,67.6,378.6
2027,175,212.322267206478,60,364
2028,175,191.603846153846,51,358
2029,175,168.724493927126,45.2,341
2030,175,151.307489878542,39,322
2031,175,134.805870445344,30.4,299.2
2032,175,121.362753036437,24,279
2033,175,107.565182186235,18.7,256
2034,175,94.2161943319838,16,235.6
2035,175,84.1769230769231,15,216.6
2036,175,73.436032388664,13,185.2
2037,175,64.8566801619433,12,165.2
2038,175,55.9821862348178,11,132.6
2039,175,47.9165991902834,10,107
2040,175,41.7817813765182,9,86
2041,175,35.5872469635628,8,74.6000000000001
2042,175,29.9609311740891,8,62
2043,175,25.8929149797571,7,53
2044,175,21.9931174089069,6,48
2045,175,18.8234817813765,5,43
2046,175,16.0036437246964,5,36.6000000000001
2047,175,13.8174089068826,4,27
2048,175,11.7556680161943,3,18
2049,175,10.0665991902834,3,14
2050,175,8.73056680161943,2,12
2051,175,7.06558704453441,2,10
2052,175,5.77004048582996,1,9
2022,200,400,400,400
2023,200,361.163584183673,300.3,435.7
2024,200,324.170599489796,94.825,441
2025,200,291.703762755102,85,438
2026,200,263.914540816327,73,427
2027,200,234.545599489796,65.825,412
2028,200,212.454081632653,58.3,397.7
2029,200,189.801977040816,47.475,380.7
2030,200,165.705038265306,35.3,358.7
2031,200,148.747448979592,25.15,333.1
2032,200,132.204081632653,19,316
2033,200,118.796556122449,17.325,293.4
2034,200,101.034757653061,16,257.4
2035,200,88.2908163265306,15,222.4
2036,200,78.3874362244898,13.25,209.7
2037,200,70.3214285714286,12,187.1
2038,200,61.3268494897959,11,157.700000000001
2039,200,51.5063775510204,10,109.4
2040,200,44.828125,9,89
2041,200,40.1208545918367,9,81.7
2042,200,34.5245535714286,8,71
2043,200,29.2646683673469,7,60
2044,200,25.2665816326531,7,53
2045,200,21.5733418367347,6,49
2046,200,17.9872448979592,5,42.7
2047,200,15.0647321428571,4,34.7
2048,200,12.5602678571429,4,25
2049,200,10.4630102040816,3.825,15
2050,200,8.67857142857143,3,12
2051,200,7.23883928571429,2,10
2052,200,5.97576530612245,2,9
