"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.334441339286,174,225
2024,100,198.674226205357,164,235
2025,100,198.011832276786,156,243
2026,100,197.341924285714,149,250
2027,100,196.676773080357,143,255
2028,100,196.004446116071,138,260
2029,100,195.354998080357,133,265
2030,100,194.693452946429,129,269
2031,100,194.018292723214,124,273
2032,100,193.349720267857,120,277
2033,100,192.684297544643,117,280
2034,100,192.010625044643,113,284
2035,100,191.340296071429,110,287
2036,100,190.680592633929,107,290
2037,100,190.010818258929,103,292
2038,100,189.361554196429,100,295
2039,100,188.7133075,98,298
2040,100,188.045663660714,95,300
2041,100,187.394331651786,92,302
2042,100,186.746109642857,90,305
2043,100,186.073294107143,87,307
2044,100,185.436956741071,85,309
2045,100,184.762965580357,83,311
2046,100,184.111042053571,80,312
2047,100,183.458710491071,78,314
2048,100,182.8011703125,76,316
2049,100,182.136618883929,74,317
2050,100,181.462972589286,72,319
2051,100,180.804158839286,70,320
2052,100,180.145931651786,68,322
2022,125,250,250,250
2023,125,249.256514955357,218,281
2024,125,248.5537859375,205,294
2025,125,247.830988482143,195,304
2026,125,247.128715892857,187,312
2027,125,246.418673303571,180,319
2028,125,245.716143258929,173,326
2029,125,245.0025421875,167,332
2030,125,244.300485803571,162,337
2031,125,243.591064598214,157,342
2032,125,242.885194642857,152,347
2033,125,242.16105375,147,352
2034,125,241.44492375,143,356
2035,125,240.723562276786,139,360
2036,125,240.035094821429,135,364
2037,125,239.312899241071,131,367
2038,125,238.595387232143,127,371
2039,125,237.896008303571,124,374
2040,125,237.198342901786,121,377
2041,125,236.470501741071,117,380
2042,125,235.768385401786,114,383
2043,125,235.053751383929,111,386
2044,125,234.363010357143,108,388
2045,125,233.6611828125,106,391
2046,125,232.972653125,103,393
2047,125,232.275770446429,100,396
2048,125,231.5641971875,98,398
2049,125,230.867898482143,95,400
2050,125,230.178902053571,93,402
2051,125,229.4818640625,90,404
2052,125,228.782969196429,88,406
2022,150,300,300,300
2023,150,299.248454330357,262,337
2024,150,298.484473839286,247,353
2025,150,297.7170346875,235,365
2026,150,296.981125223214,225,375
2027,150,296.211258526786,217,383
2028,150,295.447625223214,209,391
2029,150,294.684238303571,202,399
2030,150,293.909569330357,195,405
2031,150,293.141704910714,189,411
2032,150,292.409185714286,184,417
2033,150,291.657144821429,178,423
2034,150,290.903303169643,173,428
2035,150,290.139003258929,168,433
2036,150,289.374388392857,163,437
2037,150,288.6112084375,159,441
2038,150,287.8522140625,155,446
2039,150,287.079137366071,151,450
2040,150,286.315039151786,147,454
2041,150,285.537660491071,143,457
2042,150,284.779835,139,461
2043,150,284.043378482143,136,464
2044,150,283.299063125,132,468
2045,150,282.536324776786,129,471
2046,150,281.770687991071,126,474
2047,150,280.987309553571,123,477
2048,150,280.225702321429,120,479
2049,150,279.455422633929,117,482
2050,150,278.705442901786,114,485
2051,150,277.943758080357,111,487
2052,150,277.171434151786,108,490
2022,175,350,350,350
2023,175,349.1505753125,306,393
2024,175,348.3387271875,288,411
2025,175,347.515520267857,275,425
2026,175,346.684345267857,263,437
2027,175,345.853955133929,253,447
2028,175,345.051017678571,244,456
2029,175,344.229054642857,236,465
2030,175,343.398708883929,229,473
2031,175,342.568549419643,222,480
2032,175,341.734015580357,215,486
2033,175,340.906790223214,209,493
2034,175,340.094664017857,203,499
2035,175,339.260453482143,197,505
2036,175,338.461638973214,192,510
2037,175,337.673826026786,187,515
2038,175,336.836490178571,182,520
2039,175,336.044318258929,177,525
2040,175,335.216428616071,173,530
2041,175,334.410251919643,168,534
2042,175,333.570018839286,164,538
2043,175,332.754800803571,160,542
2044,175,331.9296103125,156,546
2045,175,331.141588303571,152,550
2046,175,330.288750446429,148,554
2047,175,329.48659875,145,557
2048,175,328.6868315625,141,560
2049,175,327.876123928571,138,564
2050,175,327.057393258929,135,567
2051,175,326.266454330357,132,570
2052,175,325.4715121875,128,573
2022,200,400,400,400
2023,200,399.091419598214,350,448
2024,200,398.185231116071,330,469
2025,200,397.318782857143,314,485
2026,200,396.456700178571,302,499
2027,200,395.579673571429,290,511
2028,200,394.713932142857,280,521
2029,200,393.848899151786,271,531
2030,200,392.974095580357,263,540
2031,200,392.108385535714,254,548
2032,200,391.2325665625,247,556
2033,200,390.369245223214,240,563
2034,200,389.524940758929,233,570
2035,200,388.647653125,227,577
2036,200,387.786515982143,221,583
2037,200,386.891685089286,215,589
2038,200,386.036936830357,209,595
2039,200,385.182519464286,204,600
2040,200,384.300530758929,199,606
2041,200,383.464062589286,194,611
2042,200,382.580006741071,189,616
2043,200,381.705741830357,184,620
2044,200,380.834805089286,180,625
2045,200,379.973719196429,176,629
2046,200,379.109293035714,171,633
2047,200,378.230814151786,167,637
2048,200,377.383803214286,163,642
2049,200,376.5123434375,160,645
2050,200,375.642991919643,156,649
2051,200,374.7722921875,152,653
2052,200,373.925665803571,149,657
