"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,187.115239178147,162,219
2024,100,174.894604278499,129,221
2025,100,163.04390221329,50.75,220
2026,100,151.856698045852,45,217
2027,100,141.522331226697,41,213
2028,100,131.363936853796,38,208
2029,100,122.275960546844,35,202
2030,100,113.530310442394,32,196
2031,100,104.958305788402,30,189
2032,100,96.9831160589153,28,181
2033,100,89.5996906153317,26,173
2034,100,82.5191514398286,24,165
2035,100,75.8662241848904,23,157
2036,100,69.6274955707751,21,148
2037,100,63.8285559404501,20,140
2038,100,58.4742245550943,18,131
2039,100,53.3912988867441,17,122
2040,100,48.4667147050268,16,112
2041,100,44.1429383610546,15,104
2042,100,40.1324867123251,14,95
2043,100,36.3047637305974,13,86
2044,100,32.789453155988,12,78
2045,100,29.5534481846788,11,68
2046,100,26.5714229050427,10,55
2047,100,23.8916823121876,10,40
2048,100,21.2351389586694,9,30
2049,100,18.9470277917339,8,26
2050,100,16.8658539810138,7,23
2051,100,14.8870415421636,7,20
2052,100,13.0046936562921,6,19
2022,125,250,250,250
2023,125,232.383152035136,201,273
2024,125,215.575187681937,75,275
2025,125,200.072519278893,60,274
2026,125,184.819506153925,54,269
2027,125,170.834124917011,49,262
2028,125,157.871546397018,45,255
2029,125,145.499910627649,41,247
2030,125,133.887684490067,38,236
2031,125,122.895638629283,35,227
2032,125,112.633075430264,32,216
2033,125,103.429332005516,30,205
2034,125,94.8372657167663,28,193
2035,125,86.5106991471324,25.5,182
2036,125,78.7570731831878,24,170
2037,125,71.6194652979929,22,159
2038,125,65.0186660538277,20,148
2039,125,58.7444461467749,19,136
2040,125,53.1696542566774,17,125
2041,125,48.1630917726367,16,115
2042,125,43.3858459731372,15,104
2043,125,39.0433711250702,14,94
2044,125,34.945942495276,13,83
2045,125,31.3507609417292,12,72
2046,125,28.0209258975538,11,58
2047,125,24.893276645728,10,41
2048,125,22.1321051018845,9,31
2049,125,19.5394642765947,9,26
2050,125,17.2722920177723,8,23
2051,125,15.1964531944232,7,21
2052,125,13.2837316786681,6,19
2022,150,300,300,300
2023,150,277.387181270283,240,326
2024,150,255.673620769587,85.75,327
2025,150,237.119077422346,72,324
2026,150,218.439313861845,64,319
2027,150,200.870815948076,57,310
2028,150,185.956374594344,52,303
2029,150,170.568150208623,47,291
2030,150,156.935489105239,43,279
2031,150,143.545781177561,40,266
2032,150,130.983217431618,36,254
2033,150,118.864163189615,33,240
2034,150,108.744830783496,31,226
2035,150,98.5838201205378,28,212
2036,150,89.0024571163653,26,198
2037,150,80.5535697728326,24,181
2038,150,72.6696105702364,22,165
2039,150,65.2512980992119,20,151
2040,150,58.5119146963375,18,137
2041,150,52.4629809921187,17,123
2042,150,46.8162726008345,16,109
2043,150,41.8033147890589,15,97
2044,150,37.0050533147891,13,85
2045,150,32.9689151599444,12,72.6000000000004
2046,150,29.3021094112193,11.1,60
2047,150,25.8871580899397,10,43
2048,150,22.8901251738526,10,33
2049,150,20.338919796013,9,27
2050,150,17.7632591562355,8,24
2051,150,15.4819425127492,7,21
2052,150,13.4930690774223,7,19
2022,175,350,350,350
2023,175,322.540960899161,280,380
2024,175,299.324521133449,97,385
2025,175,277.131431059047,83,380
2026,175,254.215212917524,74,373
2027,175,233.661192021529,65.25,366
2028,175,213.76333702707,59,355
2029,175,194.941111287003,53,341
2030,175,178.579032768719,49,328
2031,175,163.066685135349,44,314
2032,175,147.506925755897,40,297
2033,175,134.191071711255,36,281
2034,175,121.511635269907,32,260
2035,175,110.354044641444,29,244
2036,175,99.9176032927022,26,224.400000000001
2037,175,89.9293968656008,24,208
2038,175,80.4631154028811,22,187.400000000001
2039,175,71.6955437707773,20,167
2040,175,64.2202390375178,18,151
2041,175,57.1031343992401,16,133
2042,175,50.7878739908184,15,120
2043,175,45.3373041000475,14,106
2044,175,40.2796818109862,13,94
2045,175,35.4134874149121,12,77
2046,175,31.1372882697483,11,66
2047,175,27.2918711413646,10,53
2048,175,23.711215766978,9,36
2049,175,20.7574402406205,8,28
2050,175,18.0565537438658,7,24
2051,175,15.6232388792148,7,21
2052,175,13.4120231122368,6,19
2022,200,400,400,400
2023,200,367.459907430573,318,435
2024,200,335.689954966225,104.15,437
2025,200,307.966162121591,89.15,437
2026,200,281.740805604203,80,427
2027,200,258.760445334001,72,418
2028,200,236.029959969977,64,406
2029,200,215.613522641981,58,388
2030,200,196.755128846635,52,373.4
2031,200,178.779209407055,47,357
2032,200,162.697648236177,42,338
2033,200,147.754253189892,37,318
2034,200,132.404303227421,33,290.4
2035,200,118.81523642732,29,268.4
2036,200,107.043907930948,26,242.4
2037,200,96.4039904928697,23,221
2038,200,86.0829997498124,21,197
2039,200,77.0103202401801,19,176
2040,200,68.6711908931699,18,155
2041,200,60.9040530397798,16,136
2042,200,54.1054540905679,15,121
2043,200,48.3763447585689,14,107
2044,200,42.8658368776582,13,96
2045,200,37.7828996747561,12,83.4000000000001
2046,200,33.0533525143858,11,71
2047,200,28.8597698273705,10,61
2048,200,24.9649737302977,9,46
2049,200,21.788028521391,8.90000000000001,31
2050,200,18.8640855641731,8,25
2051,200,16.1355391543658,7,21
2052,200,13.4473980485364,6,19
