"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,199.325977232143,174,225
2024,100,198.648133303571,164,235
2025,100,197.96326375,156,243
2026,100,197.292471651786,149,250
2027,100,196.630487857143,143,255
2028,100,195.975473169643,138,260
2029,100,195.298882321429,133,265
2030,100,194.635249910714,129,269
2031,100,193.968546785714,124,273
2032,100,193.296650267857,120,277
2033,100,192.631313125,117,280
2034,100,191.962509642857,113,284
2035,100,191.303618973214,110,287
2036,100,190.630138214286,107,290
2037,100,189.9588096875,103,292
2038,100,189.288290892857,100,295
2039,100,188.617601741071,98,298
2040,100,187.943416071429,95,300
2041,100,187.278558660714,92,302
2042,100,186.615536651786,90,304
2043,100,185.946108883929,87,306
2044,100,185.2795309375,85,308
2045,100,184.6212384375,82,310
2046,100,183.951017589286,80,312
2047,100,183.296897991071,78,314
2048,100,182.652049419643,76,315
2049,100,182.0027959375,74,317
2050,100,181.338974464286,72,319
2051,100,180.685714732143,70,320
2052,100,179.99634875,68,321
2022,125,250,250,250
2023,125,249.278760982143,218,281
2024,125,248.552575625,205,294
2025,125,247.825537991071,195,304
2026,125,247.096134419643,187,312
2027,125,246.385730625,180,319
2028,125,245.661368392857,173,326
2029,125,244.931974776786,167,332
2030,125,244.209639241071,162,337
2031,125,243.485645133929,157,342
2032,125,242.775993526786,152,347
2033,125,242.038757321429,147,352
2034,125,241.3296809375,143,356
2035,125,240.603721205357,139,360
2036,125,239.879575535714,135,363
2037,125,239.160129955357,131,367
2038,125,238.446329866071,127,370
2039,125,237.7491865625,124,374
2040,125,237.043035223214,121,377
2041,125,236.327885446429,117,380
2042,125,235.618653571429,114,383
2043,125,234.917411339286,111,385
2044,125,234.2056684375,108,388
2045,125,233.520288973214,106,391
2046,125,232.795365535714,103,393
2047,125,232.094799151786,100,395
2048,125,231.396684464286,98,398
2049,125,230.689577232143,95,400
2050,125,229.989793839286,93,402
2051,125,229.286427767857,90,404
2052,125,228.585591026786,88,406
2022,150,300,300,300
2023,150,299.245799776786,262,337
2024,150,298.493121428571,247,352
2025,150,297.751108616071,235,365
2026,150,296.989646473214,225,375
2027,150,296.2193753125,217,383
2028,150,295.4510215625,209,391
2029,150,294.678809196429,202,399
2030,150,293.923839464286,195,405
2031,150,293.163730982143,189,411
2032,150,292.404852366071,184,417
2033,150,291.624476205357,178,423
2034,150,290.87274,173,428
2035,150,290.125312366071,168,433
2036,150,289.35640375,163,437
2037,150,288.577674508929,159,441
2038,150,287.814227544643,155,446
2039,150,287.060316116071,151,450
2040,150,286.297088973214,147,454
2041,150,285.519133080357,143,457
2042,150,284.761509017857,139,461
2043,150,283.9936090625,136,464
2044,150,283.227636517857,132,467
2045,150,282.456423035714,129,471
2046,150,281.700654910714,126,474
2047,150,280.958945133929,123,477
2048,150,280.193537633929,120,479
2049,150,279.438327589286,117,482
2050,150,278.663083169643,114,485
2051,150,277.886081294643,111,487
2052,150,277.105155892857,108,490
2022,175,350,350,350
2023,175,349.183193571429,306,393
2024,175,348.348838482143,288,411
2025,175,347.512958169643,275,425
2026,175,346.685687008929,263,437
2027,175,345.8421246875,253,447
2028,175,345.034412946429,245,456
2029,175,344.196999107143,236,465
2030,175,343.3927015625,229,473
2031,175,342.582842946429,222,480
2032,175,341.724925178571,215,487
2033,175,340.896945401786,209,493
2034,175,340.086808571429,203,499
2035,175,339.269702366071,197,505
2036,175,338.4407209375,192,510
2037,175,337.647298125,187,515
2038,175,336.823623616071,182,520
2039,175,336.026601026786,177,525
2040,175,335.218710535714,173,530
2041,175,334.399864017857,168,534
2042,175,333.590505089286,164,538
2043,175,332.793031964286,160,542
2044,175,331.936956696429,156,546
2045,175,331.109160267857,152,550
2046,175,330.2847484375,148,554
2047,175,329.465778928571,145,557
2048,175,328.646062053571,141,561
2049,175,327.855870089286,138,564
2050,175,327.078265133929,135,567
2051,175,326.266069776786,132,570
2052,175,325.466546071429,128,573
2022,200,400,400,400
2023,200,399.126729508929,350,449
2024,200,398.256373169643,330,469
2025,200,397.433849241071,315,486
2026,200,396.518521830357,302,499
2027,200,395.638760223214,290,511
2028,200,394.770253794643,280,521
2029,200,393.881690714286,271,531
2030,200,393.037840758929,263,540
2031,200,392.181565491071,255,548
2032,200,391.292103616071,247,556
2033,200,390.439966517857,240,563
2034,200,389.568536339286,234,570
2035,200,388.717424330357,227,577
2036,200,387.871326785714,221,583
2037,200,386.989724330357,215,589
2038,200,386.117795669643,210,595
2039,200,385.254303928571,204,600
2040,200,384.38426375,199,606
2041,200,383.517483616071,194,611
2042,200,382.630638125,189,615
2043,200,381.784451339286,185,620
2044,200,380.931936383929,180,625
2045,200,380.081735803571,176,629
2046,200,379.221412053571,172,634
2047,200,378.367517544643,168,638
2048,200,377.491896919643,164,642
2049,200,376.609252544643,160,645
2050,200,375.765721473214,156,649
2051,200,374.913450178571,153,653
2052,200,374.035210535714,149,657
