"years","initN","mean","lcl","ucl"
2022,100,200,200,200
2023,100,182.267747589833,155,217
2024,100,166.69212861525,50.5,219
2025,100,151.910604732691,44,215
2026,100,138.346625766871,39,210.300000000001
2027,100,125.506682734443,35,204
2028,100,113.97518624014,32,195
2029,100,103.312061787905,29,189
2030,100,93.1159344872919,26,177
2031,100,83.4719818141981,24,168
2032,100,75.015310035057,21,157
2033,100,67.7280346187555,20,146
2034,100,61.0700591586328,18,136
2035,100,54.6438157318142,16,125
2036,100,48.8606211656442,14.925,113
2037,100,43.75,13,102
2038,100,38.9292287467134,12,92
2039,100,34.7469325153374,11,82
2040,100,30.7830302366345,10,73
2041,100,27.1324496056091,9,63
2042,100,24.0002738825592,8,54
2043,100,21.1910056967572,7,45
2044,100,18.76824057844,6,38
2045,100,16.5754820333041,6,31
2046,100,14.5217462751972,5,23
2047,100,12.663398334794,4,18
2048,100,11.0008490359334,4,15
2049,100,9.42665425065732,3,13
2050,100,8.09952892199825,3,12
2051,100,6.95626095530237,2,10
2052,100,5.8658523225241,1,9
2022,125,250,250,250
2023,125,227.784025877084,195,272
2024,125,206.70552376213,63,273
2025,125,187.456021398358,54.25,269
2026,125,169.99875590943,49,263
2027,125,153.81382184623,43,254
2028,125,138.810649415277,39,247
2029,125,126.047710873352,35,238
2030,125,113.623724807166,31,224
2031,125,102.935867131127,28,213
2032,125,91.6547648668823,25,197
2033,125,81.5416148295596,21,184
2034,125,72.222941030107,18,168
2035,125,63.7952848967405,16,150
2036,125,56.9121050012441,14,136
2037,125,50.490731525255,13,120
2038,125,44.3107738243344,11,105
2039,125,39.0540557352575,10,90
2040,125,33.9924110475243,9,77
2041,125,30.3453595421747,8,68
2042,125,26.6163846728042,7,57
2043,125,23.2236874844489,7,48
2044,125,20.1619805921871,6,40
2045,125,17.6138964916646,5,35
2046,125,15.2052749440159,5,29
2047,125,13.1145185369495,4,21
2048,125,11.19893008211,3.95,17
2049,125,9.59162727046529,3,14
2050,125,8.15146802687236,2,12
2051,125,6.99944015924359,2,10
2052,125,5.82458322965912,1,9
2022,150,300,300,300
2023,150,270.502152080344,223,325
2024,150,246.127331420373,74,326
2025,150,220.756336681014,64,321
2026,150,197.898732663797,56,314
2027,150,179.203730272597,50,305
2028,150,162.054399808704,44,299
2029,150,145.589789574366,39,286
2030,150,130.494141559063,33,271
2031,150,115.522357723577,28,251
2032,150,103.303802008608,22,238
2033,150,92.1207556193209,18.5,220
2034,150,82.0180535628886,16,204
2035,150,73.1982305117169,14,188
2036,150,64.386537541846,13,165
2037,150,56.3046389287422,12,140
2038,150,50.6269727403156,11,123
2039,150,44.289693926351,10,97
2040,150,38.9433285509326,9,83
2041,150,34.6435915829747,8,70
2042,150,29.4165471066475,7,60
2043,150,25.5631276901004,6,52
2044,150,21.850549976088,6,46
2045,150,18.8457675753228,5,42
2046,150,16.0805834528934,4,33
2047,150,13.869918699187,4,27
2048,150,11.6720468675275,3,18
2049,150,9.99725011956002,2,14
2050,150,8.21174079387853,2,12
2051,150,6.82054041128647,1.5,10
2052,150,5.65016738402678,1,9
2022,175,350,350,350
2023,175,316.341911764706,255.3,381
2024,175,285.679566563468,84,383
2025,175,258.743421052632,75,376
2026,175,232.817530959752,66,371
2027,175,208.976199690402,59.025,362.9
2028,175,189.614357585139,51.1,349
2029,175,170.116679566563,44,337
2030,175,152.382933436533,37,318
2031,175,136.522445820433,26.275,308
2032,175,121.024574303406,22,279.8
2033,175,107.834752321981,20,260
2034,175,93.8701625386997,17,238
2035,175,82.3192724458204,14.775,211.9
2036,175,71.3993808049536,13,178.7
2037,175,62.4177631578947,12,148
2038,175,54.8513931888545,11,125.8
2039,175,47.6193885448916,10,101.9
2040,175,41.8184984520124,9,87.9000000000001
2041,175,36.7022058823529,8,72.8000000000002
2042,175,31.2101393188854,8,63
2043,175,27.4642027863777,7,55
2044,175,23.7571594427245,6,48
2045,175,20.3533281733746,6,44
2046,175,17.3883513931889,5,38
2047,175,15.1646671826625,4,32.9000000000001
2048,175,12.8072755417957,3.09999999999999,25
2049,175,10.6640866873065,3,15
2050,175,8.64338235294118,2,12
2051,175,7.0234133126935,2,10
2052,175,5.79469814241486,1,9
2022,200,400,400,400
2023,200,362.006764705882,296.8,438
2024,200,326.423823529412,97.95,442.1
2025,200,296.454705882353,87,432.1
2026,200,263.420588235294,76,425
2027,200,230.971764705882,66,411
2028,200,205.445882352941,57.225,396
2029,200,183.025588235294,47,373.1
2030,200,164.994411764706,33,357
2031,200,143.756764705882,25,332.2
2032,200,125.954705882353,21,309.1
2033,200,111.012647058824,19,276
2034,200,98.1191176470588,17,247.1
2035,200,86.5038235294118,16,215.4
2036,200,76.1658823529412,15,180.2
2037,200,64.335,13,140
2038,200,54.8311764705882,12,113
2039,200,48.4155882352941,11,98
2040,200,43.2964705882353,10,91
2041,200,37.8026470588235,9.225,80
2042,200,32.4961764705882,8,66
2043,200,27.7170588235294,8,55
2044,200,24.5470588235294,7,52.05
2045,200,20.7667647058824,6,45
2046,200,17.5017647058824,5,39
2047,200,14.7505882352941,5,35
2048,200,12.2067647058824,4,24
2049,200,10.4382352941176,4,15
2050,200,8.64911764705882,3,12
2051,200,7.23647058823529,2.90000000000001,10
2052,200,5.94,2,9
