"years","initN","mean","lcl","ucl"
2022,100,280,280,280
2023,100,359.254399151786,324,394
2024,100,438.427056741071,383,496
2025,100,517.504810669643,441,598
2026,100,516.485105044643,419,620
2027,100,515.443265892857,401,639
2028,100,514.416903616071,385,655
2029,100,513.376615,372,669
2030,100,512.355572901786,360,682
2031,100,511.320231160714,348,694
2032,100,510.3080059375,338,705
2033,100,509.308674821429,328,715
2034,100,508.2884259375,319,725
2035,100,507.257706339286,310,734
2036,100,506.249549508929,302,743
2037,100,505.25444875,294,751
2038,100,504.197771919643,286,759
2039,100,503.192930982143,279,767
2040,100,502.210966383929,272,774
2041,100,501.197086116071,265,781
2042,100,500.172146830357,259,788
2043,100,499.169450803571,252,795
2044,100,498.145707633929,246,801
2045,100,497.109611651786,241,807
2046,100,496.129019553571,235,813
2047,100,495.146353839286,230,819
2048,100,494.145067946429,224,825
2049,100,493.148496294643,219,830
2050,100,492.149839241071,214,835
2051,100,491.154961785714,210,840
2052,100,490.200526339286,205,845
2022,110,300,300,300
2023,110,379.231325,342,417
2024,110,458.400317633929,399,520
2025,110,537.457235089286,457,622
2026,110,536.425569776786,434,645
2027,110,535.370007723214,416,664
2028,110,534.332000089286,400,680
2029,110,533.330165848214,386,695
2030,110,532.303192008929,373,709
2031,110,531.294537589286,362,721
2032,110,530.240876830357,351,733
2033,110,529.216629598214,341,743
2034,110,528.175621026786,331,753
2035,110,527.149724375,322,763
2036,110,526.1157346875,313,772
2037,110,525.0974840625,305,781
2038,110,524.0507584375,297,789
2039,110,523.0113640625,290,797
2040,110,521.981223169643,283,805
2041,110,520.939652991071,276,812
2042,110,519.885565982143,269,819
2043,110,518.862396607143,262,826
2044,110,517.824089151786,256,832
2045,110,516.774594553571,250,839
2046,110,515.757369285714,244,845
2047,110,514.704888660714,239,851
2048,110,513.688429464286,233,857
2049,110,512.66522875,228,862
2050,110,511.575333258929,223,868
2051,110,510.539043214286,218,873
2052,110,509.526305625,213,878
2022,120,320,320,320
2023,120,399.179553883929,360,439
2024,120,478.313630982143,416,543
2025,120,557.357840133929,473,646
2026,120,556.319984196429,450,670
2027,120,555.277340669643,431,689
2028,120,554.21454625,415,706
2029,120,553.129547857143,400,721
2030,120,552.03673875,387,735
2031,120,551.00483375,375,748
2032,120,549.9090296875,364,760
2033,120,548.829527008929,353,771
2034,120,547.779254196429,343,781
2035,120,546.702269553571,334,791
2036,120,545.632683928571,325,801
2037,120,544.566023482143,317,810
2038,120,543.505052767857,308,818
2039,120,542.440373526786,301,826
2040,120,541.346573839286,293,835
2041,120,540.257284866071,286,842
2042,120,539.194363883929,279,849
2043,120,538.131689107143,272,856
2044,120,537.050262857143,266,863
2045,120,536.005195044643,260,870
2046,120,534.886283482143,254,876
2047,120,533.796183705357,248,882
2048,120,532.696903348214,242,888
2049,120,531.642499821429,237,893
2050,120,530.580091785714,231,899
2051,120,529.473299955357,226,904
2052,120,528.401997723214,221,910
