"years","initN","mean","lcl","ucl"
1987,5000,10000,10000,10000
1988,5000,9380.85714285714,8833.6,10397
1989,5000,8428.57142857143,2556.7,10505.4
1990,5000,7312.14285714286,2363.1,10524.6
1991,5000,6983.69841269841,2044.8,10636.2
1992,5000,6682.69444444444,1917.4,10735.8
1993,5000,5992.10317460317,1714,10619.2
1994,5000,5104.75,1541.8,10334.8
1995,5000,4410.54365079365,1435.2,10123.6
1996,5000,3514.86507936508,544.8,8573.4
1997,5000,3148.52380952381,459.6,8190
1998,5000,2670.62301587302,404.2,7319
1999,5000,2201.40873015873,378.25,6566.8
2000,5000,2015.01587301587,343.8,5653.00000000001
2001,5000,1706.15476190476,359.2,2190
2002,5000,1466.85714285714,258.4,2229.4
2003,5000,1223.84126984127,254.8,2126.8
2004,5000,957.718253968254,250.4,1855.8
2005,5000,733.27380952381,189.65,1512.2
2006,5000,684.321428571429,196,1474.6
2007,5000,636.480158730159,140,1315
2008,5000,562.18253968254,148.8,1243.2
2009,5000,514.099206349206,132.8,1049
2010,5000,442.472222222222,124.6,935
2011,5000,401.456349206349,124,840.8
2012,5000,326.880952380952,122.2,738.6
2013,5000,281.857142857143,120,649.6
2014,5000,249.047619047619,113,567.800000000001
2015,5000,211.373015873016,108.2,264.2
2016,5000,155.960317460317,106.6,211.4
2017,5000,149.634920634921,102,191.8
1987,6000,12000,12000,12000
1988,6000,11185.1458333333,10876.1,12318.6
1989,6000,10368.3854166667,2916,12498.5
1990,6000,9517.92708333333,2844.6,12219.9
1991,6000,9057.42708333333,2740.6,12679.7
1992,6000,8723.125,2639.1,12844.7
1993,6000,7460.15625,2214.4,12850.9
1994,6000,6721.41666666667,2144.4,12539.2
1995,6000,6152.32291666667,1577.4,12278.9
1996,6000,5082.80208333333,1448.9,10738.5
1997,6000,3780.27083333333,1471.2,9305
1998,6000,2849.41666666667,562.5,3517.1
1999,6000,2691.39583333333,424.35,3234
2000,6000,2448.30208333333,388.2,3549.5
2001,6000,2351.11458333333,373.125,3553.8
2002,6000,2044.40625,370.2,3277.7
2003,6000,1849.33333333333,278.7,3028.9
2004,6000,1241.23958333333,232.4,2704.925
2005,6000,1064.51041666667,225.7,2482.8
2006,6000,876.677083333333,224.1,1786.8
2007,6000,611.833333333333,170.2,1337.5
2008,6000,608.364583333333,182,1396.8
2009,6000,549.916666666667,142.5,1325.7
2010,6000,427.375,136.7,848.7
2011,6000,417.666666666667,141.8,769.5
2012,6000,383.302083333333,142.8,740.6
2013,6000,292.114583333333,136.1,583.8
2014,6000,263.15625,121.2,596.8
2015,6000,211.791666666667,122.3,397.6
2016,6000,184.270833333333,119,210.9
2017,6000,142.3125,105.3,184.2
1987,7000,14000,14000,14000
1988,7000,12696.8289473684,11332.95,14109.6
1989,7000,10993.3815789474,3337.65,14023.6
1990,7000,10728.6973684211,3131.8,14247.8
1991,7000,10695.9473684211,3089.2,14259.4
1992,7000,9505.68421052631,2781.2,14510.8
1993,7000,7514.76315789474,2664.8,14761.8
1994,7000,6706.80263157895,2120.5,14676.6
