"years","initN","mean","lcl","ucl"
1987,5000,10000,10000,10000
1988,5000,9412.6906779661,8934.4,10448.4
1989,5000,8341.83050847458,2485.5,10516
1990,5000,7242.26271186441,2332.6,11047.8
1991,5000,6687.28389830509,1970.8,10845.2
1992,5000,5871.57627118644,1244.85,10573.6
1993,5000,5352.68644067797,1402.2,10396.4
1994,5000,4551.3093220339,624.4,9685.6
1995,5000,3957.6906779661,538,9789.6
1996,5000,3326.60169491525,538.8,8873
1997,5000,2927.79661016949,519.6,9007.2
1998,5000,2592.91525423729,444.4,8726.4
1999,5000,2403.05508474576,432.4,8151.8
2000,5000,2135.05084745763,345.2,7456.4
2001,5000,1741.4406779661,340.8,3709.00000000001
2002,5000,1591.51271186441,312.2,2709.4
2003,5000,1176.07203389831,287,2250.85
2004,5000,927.152542372881,260.6,1987
2005,5000,754.186440677966,245.2,1750.2
2006,5000,635.39406779661,213,1569.8
2007,5000,597.474576271186,211.2,1436.6
2008,5000,480.932203389831,173.2,1100.6
2009,5000,416.771186440678,176.6,897.000000000001
2010,5000,349.872881355932,136.45,711.2
2011,5000,316.207627118644,135.8,619.8
2012,5000,267.322033898305,121,534.6
2013,5000,238.207627118644,105.8,384.2
2014,5000,222.317796610169,105.6,284.2
2015,5000,191.627118644068,106.6,248.8
2016,5000,163.966101694915,110.8,195.2
2017,5000,150.843220338983,112,188.2
1987,6000,12000,12000,12000
1988,6000,11441.9545454545,11223.5,12338.4
1989,6000,9324.07954545455,3044.7,12122.9
1990,6000,7569.57954545455,2691.25,12161.8
1991,6000,5699.60227272727,2516.3,11137.4
1992,6000,5415.13636363636,810.1,11600.9
1993,6000,5335.36363636364,896.9,11752.2
1994,6000,5224.80681818182,555.075,11620.2
1995,6000,4862.125,554.8,11851.4
1996,6000,4574.89772727273,504.325,11805.4
1997,6000,4046.48863636364,470.9,10502
1998,6000,3124.63636363636,441.9,10391.8
1999,6000,3120.63636363636,409.9,10279.7
2000,6000,2772.18181818182,384.6,10106.9
2001,6000,2695.13636363636,286.7,9709.40000000001
2002,6000,2525.85227272727,288.7,9178.2
2003,6000,2478.45454545455,278.1,8769.1
2004,6000,2100.29545454545,262.4,7855.40000000001
2005,6000,2050,255.9,7397.30000000001
2006,6000,1556.78409090909,213.5,3196.525
2007,6000,1129.93181818182,202,3068.75
2008,6000,1056.18181818182,194.5,2896.2
2009,6000,1043.18181818182,193.1,3244
2010,6000,767.386363636364,198.1,1173.45
2011,6000,446.409090909091,154.775,858.2
2012,6000,411.454545454545,145.8,873.8
2013,6000,359.181818181818,144.4,944.1
2014,6000,236.590909090909,140,310.8
2015,6000,198.602272727273,111,238.2
2016,6000,189.090909090909,103.9,220.1
2017,6000,151.886363636364,90.3,194.8
1987,7000,14000,14000,14000
1988,7000,12321.6730769231,5490.4,14340.8
1989,7000,12356.1538461538,5593.4,14582.2
1990,7000,12229.4615384615,5632.6,14432
1991,7000,10801.4423076923,3463.25,15022.8
1992,7000,10018.5576923077,3264.25,15236
1993,7000,7572.88461538462,2976.25,15121.4
1994,7000,7029.28846153846,2668.2,14776.4
1995,7000,6923.46153846154,2524.8,14628
1996,7000,6106.80769230769,2215.2,14558.4
1997,7000,6087.23076923077,1972.6,14381
1998,7000,6092.38461538462,1809,14412
1999,7000,5231.05769230769,1624,13880.2
2000,7000,4213.67307692308,950.8,12412
2001,7000,4103.78846153846,699.6,12603.2
2002,7000,3952.82692307692,738.8,12655.8
2003,7000,3008.01923076923,574.4,4547.4
2004,7000,2806.38461538462,513.4,3595.8
2005,7000,1741.73076923077,528.2,3430
2006,7000,1718.23076923077,445,3346.6
2007,7000,1637.76923076923,448.2,3079.4
2008,7000,1464.61538461538,496.2,3154.4
2009,7000,1320.05769230769,361.6,2881.8
2010,7000,1097.42307692308,164.6,2896.2
2011,7000,813.192307692308,147,2201.4
2012,7000,642.307692307692,136.4,1092.2
2013,7000,583.307692307692,147.8,652.8
2014,7000,494.326923076923,117.2,613.2
2015,7000,249.730769230769,99.2,599.6
2016,7000,184.846153846154,100.3,199.5
2017,7000,138.788461538462,101,177.6
1987,8000,16000,16000,16000
1988,8000,13772.35,8675.05,16457
1989,8000,13543.6,8286.6,16541.6
1990,8000,13259.6,8007.6,16215
1991,8000,13327.2,7948.6,16466.8
1992,8000,13259,8322.2,16013.2
1993,8000,13070.2,7904.4,15902.4
1994,8000,8487.05,3666.45,15750.8
1995,8000,7925.65,2052.75,15676.8
1996,8000,5300.85,1709,10109.4
1997,8000,5153.6,1740,9687.8
1998,8000,4949.2,1562.2,9501.6
1999,8000,2944.6,1481.4,3978.4
2000,8000,2976,1394.6,4317.6
2001,8000,2988.4,1387.8,4324.6
2002,8000,2297.2,454.4,4101.6
2003,8000,2244.8,467.8,4268
2004,8000,1318.75,196.2,2634.2
2005,8000,1005.2,177.2,2251.4
2006,8000,544.7,173.6,1195.6
2007,8000,543.8,186,1152.8
2008,8000,507.4,183.4,1054
2009,8000,489.8,183.6,990.2
2010,8000,432.4,172.4,853.4
2011,8000,456.6,182.2,887.6
2012,8000,315.55,146.25,611.6
2013,8000,302.6,153.2,561.2
2014,8000,301.2,149.8,571
2015,8000,307.2,146.2,600.2
2016,8000,166.45,131.6,204.75
2017,8000,153.2,119.8,183.8
1987,9000,18000,18000,18000
1988,9000,15740.5,11022,18181.5
1989,9000,13490.5,4785.5,17967.5
1990,9000,11043.875,4218.5,17848.5
1991,9000,8711.29166666667,3816,17792
1992,9000,8411.5,3389.5,17803
1993,9000,8485,3237.5,18011
1994,9000,6135.45833333333,2934.5,11367.375
1995,9000,5980,2896.5,11219.5
1996,9000,5568.66666666667,2618,10897
1997,9000,5144.75,1679.25,10687.5
1998,9000,4733.875,922.625,10772.5
1999,9000,4564.16666666667,947,10672.5
2000,9000,2232.79166666667,811,3926.875
2001,9000,1592.33333333333,721.5,2780.5
2002,9000,1665.66666666667,723,2940.5
2003,9000,1688.5,739.5,3003.5
2004,9000,1097.83333333333,434.75,2063.5
2005,9000,634.625,216.5,1124
2006,9000,619.5,210,1007
2007,9000,601,199,981.5
2008,9000,592.333333333333,167,992
2009,9000,567.333333333333,147,939.5
2010,9000,420.791666666667,132.875,800.5
2011,9000,439,144.5,856.5
2012,9000,368.958333333333,112.375,814
2013,9000,361.333333333333,124.5,798
2014,9000,357,119,793
2015,9000,341.166666666667,126.5,750.5
2016,9000,320.833333333333,123,693
2017,9000,146.041666666667,125.5,175.375
