"years","initN","mean","lcl","ucl"
1987,5000,10000,10000,10000
1988,5000,9979.29506620536,9334,10621
1989,5000,9958.35239370536,9049,10873
1990,5000,9937.35239839286,8825,11063
1991,5000,9916.82389616071,8632,11222
1992,5000,9897.01296607143,8461,11359
1993,5000,9876.88215066964,8304,11481
1994,5000,9856.76660571429,8157,11592
1995,5000,9836.74489915178,8019,11694
1996,5000,9816.90260803571,7886,11788
1997,5000,9797.26995973214,7760,11878
1998,5000,9777.48164816964,7638,11962
1999,5000,9757.61699227679,7519,12041
2000,5000,9737.8349446875,7406,12116
2001,5000,9718.05344799107,7295,12187
2002,5000,9698.60257290179,7186,12254
2003,5000,9679.32756607143,7081,12320
2004,5000,9659.88996799107,6978,12383
2005,5000,9640.56275558036,6877,12445
2006,5000,9621.12486848214,6778,12502
2007,5000,9601.732693125,6679,12556
2008,5000,9582.01642111607,6583,12611
2009,5000,9562.88823732143,6488,12665
2010,5000,9543.8505696875,6395,12716
2011,5000,9525.11498651786,6303,12767
2012,5000,9506.14773169643,6212,12815
2013,5000,9487.74664696429,6123,12863
2014,5000,9469.19994299107,6035,12909
2015,5000,9450.58876946429,5949,12954
2016,5000,9431.68578330357,5860,12997
2017,5000,9412.88238955357,5775,13040
1987,6000,12000,12000,12000
1988,6000,11975.6678241964,11355,12592
1989,6000,11952.0236391964,11077,12829
1990,6000,11928.0441976786,10856,13007
1991,6000,11904.4691627679,10665,13154
1992,6000,11880.5366855804,10493,13281
1993,6000,11856.6397944196,10333,13395
1994,6000,11833.1815957589,10184,13496
1995,6000,11809.7509977679,10042,13590
1996,6000,11786.5514382143,9907,13677
1997,6000,11763.1643465625,9778,13758
1998,6000,11740.0218441071,9651,13835
1999,6000,11716.8398947768,9529,13905
2000,6000,11693.8142102679,9410,13975
2001,6000,11671.479225625,9295,14040
2002,6000,11648.5753909375,9180,14102
2003,6000,11626.0131286607,9069,14161
2004,6000,11603.1985450893,8958,14217
2005,6000,11580.7841226339,8852,14271
2006,6000,11558.0421560714,8744,14323
2007,6000,11535.6484849107,8640,14373
2008,6000,11512.8666979018,8536,14421
2009,6000,11490.45183125,8433,14470
2010,6000,11467.9232403125,8330,14516
2011,6000,11445.7259178125,8229,14561
2012,6000,11423.5386261161,8132,14603
2013,6000,11401.7546386607,8032,14645
2014,6000,11379.4487309375,7934,14687
2015,6000,11357.4327982143,7838,14725
2016,6000,11335.304185,7742,14765
2017,6000,11313.7416073661,7645,14803
1987,7000,14000,14000,14000
1988,7000,13974.3730750446,13433,14516
1989,7000,13948.453798125,13183,14719
1990,7000,13922.5973294196,12982,14869
1991,7000,13897.1135106696,12810,14994
1992,7000,13871.5481111161,12653,15101
1993,7000,13845.9229566518,12506,15196
1994,7000,13820.4263454464,12368,15282
1995,7000,13794.8527795982,12237,15359
1996,7000,13769.6498551339,12111,15433
1997,7000,13744.5828271875,11989,15501
1998,7000,13719.5925473661,11870,15563
1999,7000,13694.3692137054,11755,15623
2000,7000,13669.4404839732,11642,15679
2001,7000,13644.7070745536,11530,15732
2002,7000,13619.7842556696,11421,15783
2003,7000,13594.86141375,11314,15831
2004,7000,13569.9675520982,11207,15877
2005,7000,13545.5983129911,11103,15922
2006,7000,13521.1332464732,10998,15965
2007,7000,13496.5847095982,10895,16008
2008,7000,13472.5249551339,10794,16047
2009,7000,13448.2036819196,10694,16086
2010,7000,13424.0970412946,10592,16123
2011,7000,13399.5489814286,10492,16159
2012,7000,13375.4371233482,10391,16194
