"years","initN","mean","lcl","ucl"
1987,5000,10000,10000,10000
1988,5000,9979.34424566964,9334,10621
1989,5000,9958.9056228125,9050,10874
1990,5000,9937.75447089286,8825,11063
1991,5000,9917.2961975,8634,11221
1992,5000,9897.29662616071,8462,11358
1993,5000,9876.69210075893,8304,11480
1994,5000,9856.28104808036,8156,11590
1995,5000,9836.13020941964,8017,11693
1996,5000,9816.11107446429,7885,11787
1997,5000,9796.87824334821,7758,11877
1998,5000,9776.90793558036,7636,11960
1999,5000,9757.24866446428,7518,12039
2000,5000,9737.27660058036,7403,12114
2001,5000,9717.77601808036,7293,12186
2002,5000,9697.9204815625,7184,12254
2003,5000,9678.26560584821,7078,12320
2004,5000,9658.40295754464,6974,12383
2005,5000,9638.88328754464,6873,12444
2006,5000,9619.35110075893,6773,12502
2007,5000,9599.90164071429,6676,12558
2008,5000,9580.787609375,6579,12611
2009,5000,9561.1452775,6486,12664
2010,5000,9542.04949727679,6392,12716
2011,5000,9523.19132745536,6300,12765
2012,5000,9503.93395852679,6209,12813
2013,5000,9485.060820625,6121,12860
2014,5000,9465.89419808036,6032,12906
2015,5000,9447.38491245536,5944,12950
2016,5000,9428.71688013393,5859,12994
2017,5000,9409.92104986607,5774,13035
1987,6000,12000,12000,12000
1988,6000,11976.0855794643,11356,12592
1989,6000,11952.3825688839,11077,12829
1990,6000,11928.7098782143,10856,13007
1991,6000,11904.8932186161,10666,13154
1992,6000,11881.0259662946,10492,13282
1993,6000,11857.1302073214,10333,13394
1994,6000,11833.6523145536,10184,13497
1995,6000,11810.5994284821,10043,13590
1996,6000,11787.0494291071,9907,13677
1997,6000,11763.69011125,9777,13757
1998,6000,11740.3476245536,9651,13835
1999,6000,11717.2046295982,9530,13907
2000,6000,11694.0015194643,9409,13975
2001,6000,11670.8768753571,9293,14039
2002,6000,11648.2565575446,9180,14100
2003,6000,11625.5106432589,9068,14160
2004,6000,11602.6098058036,8958,14216
2005,6000,11580.1455999107,8849,14270
2006,6000,11557.3340980357,8741,14323
2007,6000,11534.7746342411,8637,14372
2008,6000,11512.0708441964,8532,14423
2009,6000,11489.556284375,8430,14469
2010,6000,11467.1721275893,8329,14515
2011,6000,11445.0744310714,8228,14559
2012,6000,11422.6734342857,8128,14603
2013,6000,11400.2075646429,8029,14643
2014,6000,11378.293936875,7932,14683
2015,6000,11356.5809441518,7835.90000000002,14724
2016,6000,11335.0065092857,7740,14762
2017,6000,11313.6431960714,7645,14800
1987,7000,14000,14000,14000
1988,7000,13974.5067961161,13433,14515
1989,7000,13948.7602614732,13183,14719
1990,7000,13923.2098585268,12984,14870
1991,7000,13897.2600684375,12809,14995
1992,7000,13871.7702920089,12652,15102
1993,7000,13846.4924970982,12505,15197
1994,7000,13820.9608609375,12367,15283
1995,7000,13795.5393294196,12237,15360
1996,7000,13770.457031875,12111,15433
1997,7000,13745.5481482143,11990,15500
1998,7000,13720.5940753125,11870,15563
1999,7000,13695.5490086607,11754,15623
2000,7000,13670.8869478571,11642,15679
2001,7000,13646.0096865625,11532,15733
2002,7000,13621.4454071875,11423,15784
2003,7000,13596.7962033929,11317,15833
2004,7000,13572.0904685268,11210,15879
2005,7000,13547.6276652679,11104,15924
2006,7000,13523.2585098661,11003,15967
2007,7000,13498.6316966518,10899,16008
2008,7000,13474.2731606696,10796,16048
2009,7000,13450.0460885268,10695,16087
2010,7000,13425.8618314732,10591,16124
2011,7000,13401.6235931696,10493,16160
2012,7000,13377.4882748214,10394,16195
2013,7000,13353.8331270982,10295,16229
2014,7000,13329.8517023661,10197,16261
2015,7000,13305.6613381696,10096,16293
2016,7000,13281.7742169643,9998,16324
2017,7000,13257.7348566071,9900,16354
1987,8000,16000,16000,16000
1988,8000,15974.6782159821,15565,16390
1989,8000,15949.3709469196,15370,16541
1990,8000,15924.1686003571,15214,16654
1991,8000,15898.5836006696,15076,16745
1992,8000,15873.3336314732,14951,16824
