"years","initN","mean","lcl","ucl"
1987,5000,10000,10000,10000
1988,5000,9979.5197659375,9334,10620
1989,5000,9959.028355,9049,10873
1990,5000,9938.96150696429,8826,11064
1991,5000,9918.75292790179,8634,11222
1992,5000,9898.056320625,8463,11358
1993,5000,9877.79715924107,8304,11482
1994,5000,9857.72296651786,8157,11592
1995,5000,9837.37308290179,8019,11694
1996,5000,9817.53966602679,7887,11789
1997,5000,9797.734053125,7761,11877
1998,5000,9777.85956129464,7639,11961
1999,5000,9758.15465495536,7521,12040
2000,5000,9738.13832379464,7406,12114
2001,5000,9718.93303276786,7296,12187
2002,5000,9698.94518651786,7187,12255
2003,5000,9678.83119397321,7080,12319
2004,5000,9659.19426053571,6976,12383
2005,5000,9639.78957491071,6874,12443
2006,5000,9620.62193098214,6777,12499
2007,5000,9601.51972620536,6678,12557
2008,5000,9582.29136339286,6581,12612
2009,5000,9563.206645625,6485,12664
2010,5000,9544.09218642857,6395,12713
2011,5000,9524.96679660714,6303,12764
2012,5000,9506.26276950893,6212,12811
2013,5000,9487.32298647321,6123,12858
2014,5000,9468.29973549107,6034,12906
2015,5000,9449.87743928571,5946,12950
2016,5000,9431.09898066964,5862,12992
2017,5000,9412.40746736607,5778,13033
1987,6000,12000,12000,12000
1988,6000,11976.0396266518,11357,12592
1989,6000,11951.9702275446,11077,12830
1990,6000,11927.5286279911,10856,13007
1991,6000,11903.6404995089,10664,13153
1992,6000,11879.8971098661,10492,13279
1993,6000,11856.3320751786,10333,13393
1994,6000,11832.9110825446,10184.9,13495
1995,6000,11809.8773102679,10044,13589
1996,6000,11786.2078271429,9908,13676
1997,6000,11762.9310026786,9778,13757
1998,6000,11739.9752381696,9653,13834
1999,6000,11716.7376360714,9530,13906
2000,6000,11693.7316109821,9410,13973
2001,6000,11670.4610646875,9293,14038
2002,6000,11647.5498934821,9180,14100
2003,6000,11624.7226195982,9068,14159
2004,6000,11601.6315658036,8957,14216
2005,6000,11579.0011274107,8850,14270
2006,6000,11556.4067240625,8744,14321
2007,6000,11534.2278177679,8639,14372
2008,6000,11511.3013510714,8534,14422
2009,6000,11489.080510625,8432,14469
2010,6000,11466.4566662946,8331,14515
2011,6000,11444.3262576786,8231,14559
2012,6000,11422.0870410714,8132,14602
2013,6000,11400.2432332589,8033,14643
2014,6000,11378.3321813393,7935,14684
2015,6000,11356.710756875,7840,14724
2016,6000,11334.9785053571,7744,14763
2017,6000,11313.2273621429,7646,14800
1987,7000,14000,14000,14000
1988,7000,13974.2507069196,13433,14515
1989,7000,13948.5269659821,13183,14718
1990,7000,13923.3317283929,12983,14870
1991,7000,13897.5734594643,12811,14995
1992,7000,13871.7706529464,12652,15101
1993,7000,13846.2490309821,12506,15196
1994,7000,13821.0960605804,12369,15282
1995,7000,13795.4953790179,12237,15360
1996,7000,13770.3356662946,12111,15432
1997,7000,13745.4414546429,11989,15500
1998,7000,13720.7056062946,11871,15563
1999,7000,13695.7049072768,11756,15623
2000,7000,13671.0406539732,11643,15680
2001,7000,13646.5033385268,11532,15734
2002,7000,13621.8147220982,11424,15785
2003,7000,13597.0531170982,11316,15834
2004,7000,13572.4111470982,11209,15879
2005,7000,13547.9105127232,11102,15925
2006,7000,13523.5138428125,10999,15968
2007,7000,13498.7591309375,10896,16009
2008,7000,13474.5207512946,10795,16050
2009,7000,13450.1604415625,10694,16089
2010,7000,13425.9242041071,10594,16125
2011,7000,13401.9833625893,10493,16162
2012,7000,13377.6596741071,10394,16196
2013,7000,13353.7601449554,10296,16229
2014,7000,13329.6758946429,10195,16262
2015,7000,13305.8172933482,10097,16295
2016,7000,13281.5593159821,9998,16326
2017,7000,13257.7854609821,9900,16356
1987,8000,16000,16000,16000
1988,8000,15974.8227175446,15565,16390
1989,8000,15949.6872895982,15370,16542
1990,8000,15924.2981103571,15213,16655
1991,8000,15898.7920028125,15075,16746
1992,8000,15873.6071157589,14950,16824
1993,8000,15848.3424800446,14834,16894
1994,8000,15823.1239945536,14722,16956
1995,8000,15797.6791420536,14616,17013
1996,8000,15773.0538360714,14513,17066
1997,8000,15747.9876325446,14414,17115
1998,8000,15722.8153298214,14317,17161
1999,8000,15697.6288978125,14221,17203
2000,8000,15672.4872409375,14127,17243
2001,8000,15647.9071021875,14035,17282
2002,8000,15623.3807209821,13944,17318
2003,8000,15598.5243877232,13853,17353
2004,8000,15573.6883256696,13762,17386
2005,8000,15548.8613063839,13674,17417
2006,8000,15524.3980933482,13584,17448
2007,8000,15499.7222839286,13497,17478
2008,8000,15474.8108096429,13409,17506
2009,8000,15450.4451688839,13320,17533
2010,8000,15426.0272292857,13234,17559
2011,8000,15401.5455533929,13147,17584
2012,8000,15377.4263605804,13060,17609
2013,8000,15352.9596011607,12972,17633
2014,8000,15328.5506151786,12884,17655
2015,8000,15304.2394269196,12797,17678
2016,8000,15280.0393425,12709,17700
2017,8000,15256.4217997768,12621,17721
1987,9000,18000,18000,18000
1988,9000,17977.8559794196,17753,18218
1989,9000,17956.1248023214,17641,18301
1990,9000,17933.7440134821,17550,18362
1991,9000,17911.8741050893,17469,18412
1992,9000,17889.6985130357,17396,18455
1993,9000,17867.533518125,17326,18492
1994,9000,17845.5880810714,17261,18526
1995,9000,17823.5154566964,17197,18556
1996,9000,17801.6400464286,17135,18584
1997,9000,17779.2301359375,17074,18610
1998,9000,17757.0903614732,17016,18634
1999,9000,17734.9976833482,16958,18657
2000,9000,17713.1835485714,16901,18678
2001,9000,17691.2413727679,16844,18698
2002,9000,17669.1297791071,16786,18717
2003,9000,17647.1683148661,16730,18735
2004,9000,17625.237329375,16674,18752
2005,9000,17603.6907831696,16618,18769
2006,9000,17581.5042970536,16562,18785
2007,9000,17559.3462155357,16507,18800
2008,9000,17537.3758745536,16452,18815
2009,9000,17515.3691373661,16395,18829
2010,9000,17493.2223839732,16339,18842
2011,9000,17471.2192772321,16282,18856
2012,9000,17448.9917972321,16225,18868
2013,9000,17426.9891878125,16168,18881
2014,9000,17405.3334400446,16111,18892
2015,9000,17383.6368403571,16053,18904
2016,9000,17361.7215312946,15994,18915
2017,9000,17339.8876104911,15936,18926
