"years","initN","mean","lcl","ucl"
2023,6000,12000,12000,12000
2024,6000,11973.5504084656,11168,12774
2025,6000,11949.8973328042,10820,13091
2026,6000,11926.7662978836,10542,13331
2027,6000,11901.6238365079,10303,13529
2028,6000,11877.9508825397,10093,13706
2029,6000,11853.7183497354,9896,13859
2030,6000,11830.2868227513,9715,13999
2031,6000,11804.9799507937,9544,14123
2032,6000,11782.0373142857,9379,14242
2033,6000,11757.1033306878,9225,14351
2034,6000,11731.4631571429,9069,14458
2035,6000,11707.3711142857,8929,14557
2036,6000,11684.3204132275,8784,14653
2037,6000,11661.0392968254,8651,14742
2038,6000,11638.7384285714,8519.9,14826
2039,6000,11614.374578836,8388,14911
2040,6000,11591.7995433862,8265,14992
2041,6000,11568.962331746,8139,15067
2042,6000,11546.1144846561,8017,15140
2043,6000,11522.2765539683,7900,15219
2044,6000,11500.1562084656,7787,15284
2045,6000,11476.7310296296,7672,15357
2046,6000,11452.8875544974,7556,15408
2047,6000,11431.0000428571,7446,15471
2048,6000,11407.6202354497,7328,15533
2049,6000,11385.2619407407,7223,15592
2050,6000,11364.1949613757,7120,15653
2051,6000,11341.6455386243,7012,15714
2052,6000,11319.442737037,6910,15776
2053,6000,11297.6854708995,6808,15822.1
2023,6500,13000,13000,13000
2024,6500,12973.8011074074,12166,13774
2025,6500,12948.3490465608,11811,14089
2026,6500,12921.7857624339,11531,14325
2027,6500,12895.1751587302,11291,14520
2028,6500,12869.801368254,11073,14688
2029,6500,12842.5389783069,10870,14841
2030,6500,12815.3742703704,10686,14979
2031,6500,12789.0385216931,10511,15106
2032,6500,12765.0033391534,10346,15223
2033,6500,12739.5546814815,10184,15331
2034,6500,12714.4340486772,10031.9,15437
2035,6500,12688.1966190476,9886,15533
2036,6500,12662.9793100529,9738,15629
2037,6500,12637.9638190476,9597,15710
2038,6500,12611.4173100529,9455,15796
2039,6500,12587.8297608466,9322,15879
2040,6500,12561.3790772487,9188,15955
2041,6500,12534.8007021164,9059,16027
2042,6500,12508.4877767196,8933,16100
