"years","initN","mean","lcl","ucl"
2023,6000,12000,12000,12000
2024,6000,10493.6428571429,3291.275,12155.6
2025,6000,9939.72321428571,2893.7,12223.3
2026,6000,9075.58035714286,2663.6,12337.4
2027,6000,8290.42857142857,2316.1,12251.3
2028,6000,7516.60714285714,2120.9,11997.9
2029,6000,6458.21428571429,2254.9,11191.4
2030,6000,6004.66964285714,2087.7,10749.5
2031,6000,5895.5,1949.7,10590.5
2032,6000,5466.35714285714,1803,10631.2
2033,6000,4901.4375,1761.7,10130
2034,6000,4534,1596.8,9960.4
2035,6000,3569.73214285714,1415.2,8995.1
2036,6000,3324.72321428571,1165.7,9080
2037,6000,3109.49107142857,836.725,9020.6
2038,6000,3031.16964285714,624.1,8833.3
2039,6000,2489.85714285714,648.7,6291.4
2040,6000,2076.125,632.2,2415.7
2041,6000,2030.35714285714,523.3,2214.7
2042,6000,1871.375,450.925,2198.9
2043,6000,1833,441.9,2248.7
2044,6000,1454.17857142857,290.8,2076.125
2045,6000,1086.88392857143,289.3,2129.6
2046,6000,936.107142857143,280.675,1810.6
2047,6000,697.508928571429,264.3,1501.5
2048,6000,685.357142857143,261.9,1410.8
2049,6000,627.419642857143,237,1330.1
2050,6000,513.642857142857,232.225,1148.3
2051,6000,500.892857142857,229.3,1381
2052,6000,399.401785714286,226.1,421.8
2053,6000,308.294642857143,211.5,390.5
2023,6500,13000,13000,13000
2024,6500,11295.09375,3366.325,13378.1
2025,6500,9987.234375,3370.05,13670.6
2026,6500,8870.53125,2929.575,13679.7
2027,6500,7349.25,2879.125,13182.2
2028,6500,6710.40625,2585.95,13052.2
2029,6500,6151.5859375,2288.2,13461
2030,6500,5348.03125,2198.5,13138.4
2031,6500,5074.53125,1904.8,12749.9
2032,6500,5000.25,1801.3,12194.5
2033,6500,4833.9921875,1571.2,11420
2034,6500,4084.203125,1458.4,10534.3
2035,6500,3683.4453125,1242.4,8551.3
2036,6500,3564.2734375,887.5,9257.2
2037,6500,3479.75,781.3,8916.1
2038,6500,2695.3515625,690.4,4494.05
2039,6500,2479.953125,577.6,4432
2040,6500,2134.4921875,562.425,3186.5
2041,6500,2024.3671875,560.2,3299.5
2042,6500,1690.5078125,503.6,2684
2043,6500,1408.6640625,434.1,2754.9
2044,6500,1289.984375,404.7,2499.2
2045,6500,1122.453125,426.6,2266.4
2046,6500,996.3828125,370.8,1825.7
2047,6500,892.3984375,348.4,1744.9
2048,6500,841.7890625,316.325,1849.8
2049,6500,644.5859375,313.3,1410.5
2050,6500,513.5859375,293.4,736.3
2051,6500,481,303.8,747.800000000001
2052,6500,420.390625,273.7,453.2
2053,6500,326.3359375,184.05,389.9
2023,7000,14000,14000,14000
2024,7000,12872.3928571429,12216,14327.3
2025,7000,12750.5,12511,14283.2
2026,7000,10419.8035714286,3524.375,14373.2
2027,7000,8830.03571428571,3243.9,13872
2028,7000,7800.30357142857,3069.1,13429.2
2029,7000,7451.125,1355.925,12834.7
2030,7000,7230,1383.2,12675
2031,7000,6103.08928571429,894.25,11906.8
2032,7000,5520.05357142857,849.7,12115.2
2033,7000,4785.23214285714,735.575,11912.4
2034,7000,4750.42857142857,714.1,12188.2
2035,7000,4630.28571428571,652.9,11890.8
2036,7000,3872.35714285714,700.8,10657.9
2037,7000,3709.60714285714,494.65,9982.3
2038,7000,2766.19642857143,445.1,8353.10000000001
2039,7000,1547.21428571429,418.9,2848.3
2040,7000,1494.71428571429,379.2,2913.5
2041,7000,1289.625,411.8,2710.7
2042,7000,1020.16071428571,427.9,2641.8
2043,7000,844.946428571429,371,2038.7
2044,7000,573.75,271.1,740.8
2045,7000,595,273.5,753.5
2046,7000,471.642857142857,265.3,716.5
2047,7000,444.642857142857,251,617.6
2048,7000,369.321428571429,232.4,466.9
2049,7000,363.785714285714,246.8,467
2050,7000,356.928571428571,237.1,466.5
2051,7000,331.214285714286,216.8,436.7
2052,7000,327.571428571429,219.6,395.2
2053,7000,308.214285714286,221.5,377.5
2023,7500,15000,15000,15000
2024,7500,15213.8,14694.6,15727.8
2025,7500,12862.6,3893.8,15800
2026,7500,11683.2,3579.2,16095
2027,7500,10826.6666666667,3369.6,15950.4
2028,7500,10061.7,3379.2,16016.6
2029,7500,9253.93333333333,2932.2,15658.2
2030,7500,7440.65,2797.2,14474.4
2031,7500,6574.45,2697.4,14231.6
2032,7500,5814.3,2201.4,13794.2
2033,7500,5712.66666666667,2200.4,13415.2
2034,7500,5744.53333333333,2001.6,13067.6
2035,7500,5358,1947.4,11431
2036,7500,4502.61666666667,923.8,10694.2
2037,7500,3782.6,896,6582
2038,7500,3489.68333333333,714.4,6491.6
2039,7500,3299.88333333333,567.5,6051.2
2040,7500,2031.33333333333,370.25,4052.3
2041,7500,1447.8,385.4,2895.6
2042,7500,1379.73333333333,343,2930.6
2043,7500,1184.96666666667,269,2766
2044,7500,1062.2,280.2,2676.6
2045,7500,791.4,284.4,1773.2
2046,7500,763.466666666667,271,1586.4
2047,7500,632.983333333333,249.4,1095.8
2048,7500,572.933333333333,235.2,1095.6
2049,7500,557.8,229,1000.6
2050,7500,432.35,185.6,568.2
2051,7500,340.533333333333,192.6,453.4
2052,7500,327.333333333333,185.6,426.6
2053,7500,302.266666666667,178.6,381.8
2023,8000,16000,16000,16000
2024,8000,15973.5714285714,15633.6,16402.4
2025,8000,12325.8571428571,4007.05,16367.2
2026,8000,10667.1071428571,4070.1,16406.8
2027,8000,10755.8571428571,3911.6,16762.4
2028,8000,8913.03571428571,4092.4,15687.6
2029,8000,8579.14285714286,3543.6,15558
2030,8000,8599.85714285714,3601,15256
2031,8000,6770.78571428571,3201.8,14807.2
2032,8000,5195.03571428571,3085.6,8567.40000000001
2033,8000,3419.39285714286,2909,4017.25
2034,8000,3487.71428571429,2797.8,4244.8
2035,8000,3353,2555.8,4101.6
2036,8000,3172.57142857143,2407.8,3778.8
2037,8000,3076.14285714286,2464.6,3723.2
2038,8000,2743.14285714286,2094.2,3568.4
2039,8000,2287.32142857143,1519.5,3108.8
2040,8000,1654.03571428571,572.05,2369.2
2041,8000,1384.85714285714,427.4,2217
2042,8000,1355.42857142857,443,2132
2043,8000,1314.71428571429,392,2191.8
2044,8000,1294,400.6,2074
2045,8000,1039.82142857143,415.65,1938
2046,8000,972.928571428571,206.2,1920.4
2047,8000,1021.42857142857,203.8,2074.4
2048,8000,800.285714285714,220.4,1973.4
2049,8000,732.571428571429,241.4,1765.4
2050,8000,681.428571428571,233.2,1677.8
2051,8000,309.964285714286,220.8,421.8
2052,8000,297.714285714286,209.2,403.6
2053,8000,280,199.2,353.2
