"Mean_Pop_Size","LCL","UCL","Years"
4,4,4,2023
3.749,3.5,4.5,2024
3.47925,3,4,2025
3.228,2.5,4,2026
2.97375,2,4,2027
2.72525,1.5,4,2028
2.460875,1.5,3.5,2029
2.215375,1,3.5,2030
1.969,1,3,2031
1.7165,0.5,3,2032
1.4805,0,2.5,2033
1.2545,0,2.5,2034
1.0435,0,2.5,2035
0.85525,0,2,2036
0.702125,0,2,2037
0.554,0,1.5,2038
0.443875,0,1.5,2039
0.3545,0,1.5,2040
0.279,0,1,2041
0.219,0,1,2042
0.1695,0,0.5,2043
0.1335,0,0.5,2044
0.1015,0,0,2045
0.0755,0,0,2046
0.0575,0,0,2047
0.044,0,0,2048
0.036,0,0,2049
0.029,0,0,2050
0.02,0,0,2051
0.016,0,0,2052
0.013,0,0,2053
