years,scenario,pop_size,lcl,ucl
2023,A1,200,200,200
2024,A1,202.39625,192.6137647,212.8533897
2025,A1,200.2424167,205.2484771,214.0591435
2026,A1,199.8924167,191.89672,227.0777854
2027,A1,199.8003333,184.9485086,243.2902059
2028,A1,199.57925,168.1787814,232.0441414
2029,A1,197.9176667,178.0599275,224.7684969
2030,A1,195.9063333,168.8059573,233.8468599
2031,A1,196.7783333,170.8035933,241.6437933
2032,A1,198.9014167,156.4028139,262.2183676
2033,A1,199.0308333,153.9835214,256.6834314
2034,A1,194.581,129.7206667,265.1490427
2035,A1,193.2273333,119.1568556,266.0096289
2036,A1,192.2628333,126.1885062,259.2343868
2037,A1,189.6146667,125.0192702,258.5079955
2038,A1,194.3175,122.2904799,271.5263199
2039,A1,195.4186667,130.8653672,261.4050366
2040,A1,193.9516667,123.6118622,263.2570622
2041,A1,193.6333333,119.7299444,266.1167443
2042,A1,192.5946667,100.4060195,286.8376569
2043,A1,189.9786667,91.94967468,289.5274881
2044,A1,187.7530833,93.50103548,281.2541188
2045,A1,186.551,103.7845396,264.2183996
2046,A1,180.356,106.1695654,251.8972134
2047,A1,180.373,102.451864,252.5222
2048,A1,179.7429167,103.6517487,251.7599121
2049,A1,177.5744167,94.29201527,254.1089903
2050,A1,176.2194167,85.9363356,248.7630766
2051,A1,172.7286667,88.37950119,249.3626186
2052,A1,171.5195,73.067307,258.308367
2053,A1,167.5538333,63.89386171,256.9158777
2023,A2,200,200,200
2024,A2,200.3333333,193.8558889,209.0812223
2025,A2,210.3333333,202.2004443,219.027111
2026,A2,211,176.6773333,205.3733333
2027,A2,215.8333333,179.0697223,212.7397223
2028,A2,219.6666667,179.7605555,214.0285555
2029,A2,228,188.7080001,231.5720001
2030,A2,229.8333333,192.9067777,227.8414443
2031,A2,231.1666667,187.7843888,238.6410555
2032,A2,241.5,196.5005001,294.0665001
2033,A2,243.8333333,191.5717223,307.6363889
2034,A2,250.1666667,187.0412779,326.1339446
2035,A2,258,194.4460001,339.9580001
2036,A2,256.3333333,203.614111,315.3754443
2037,A2,261.6666667,197.9944446,327.7811112
2038,A2,254.3333333,203.2123333,318.171
2039,A2,255.3333333,198.7344443,320.273111
2040,A2,259.8333333,213.7562223,313.5322223
2041,A2,257.6666667,208.7958888,312.8932222
2042,A2,250.1666667,173.9492222,318.0452222
2043,A2,245.1666667,155.5173888,338.9020555
2044,A2,240,157.92,324.96
2045,A2,238.3333333,141.4905556,331.2038889
2046,A2,234.3333333,138.8034443,319.7087777
2047,A2,223.6666667,130.4722222,307.6162222
2048,A2,229.3333333,135.6124443,311.7404443
2049,A2,218.1666667,125.7367222,304.6333889
2050,A2,221,121.4026666,315.8826666
2051,A2,217.5,119.5525001,306.6025001
2052,A2,216.1666667,105.3452222,318.0532222
2053,A2,216.1666667,95.97800001,334.6260001
2023,A3,200,200,200
2024,A3,210.5,209.0265,211.5525
2025,A3,207,193.8209999,221.1449999
2026,A3,219.3333333,186.5064443,262.8344443
2027,A3,229.5,189.7200001,283.3560001
2028,A3,244.8333333,200.6817223,299.5943889
2029,A3,254.1666667,207.9930555,306.6097222
2030,A3,261.5,216.6963334,310.8363334
2031,A3,266,216.8786666,316.8946666
2032,A3,271,240.1963332,306.3203332
2033,A3,269.8333333,234.1253889,295.6473889
2034,A3,269,230.8916666,305.1356666
2035,A3,270.8333333,207.8194443,318.3194443
2036,A3,272.1666667,202.4012779,331.9526112
2037,A3,265.8333333,181.3869443,337.6969443
2038,A3,264.1666667,178.4005555,341.1272222
2039,A3,265,159.8833332,357.0433332
2040,A3,269.5,171.8511668,349.7211668
2041,A3,265.1666667,175.8938888,349.8432222
2042,A3,268.3333333,165.3827777,366.096111
2043,A3,268.6666667,134.7811112,342.1917779
2044,A3,264,139.656,320.232
2045,A3,263.3333333,126.6633333,334.17
2046,A3,261.3333333,110.456889,342.5208889
2047,A3,255.8333333,125.3583333,330.025
2048,A3,254.5,122.4145,335.1765
2049,A3,238.1666667,119.7184445,317.8731112
2050,A3,238,110.908,327.964
2051,A3,237.5,98.16666659,345.1666666
2052,A3,235.1666667,94.30183335,349.2225
2053,A3,231.8333333,96.36538895,345.8180556
2023,A4,200,200,200
2024,A4,199.5,194.3794999,206.3494999
2025,A4,200.3333333,190.2498889,208.6805556
2026,A4,200.3333333,193.6555556,206.4768889
2027,A4,198.3333333,185.64,207.8533333
2028,A4,192.6666667,186.4371112,197.9971112
2029,A4,191,180.3676666,205.5796666
2030,A4,179,172.019,185.623
2031,A4,171.6666667,153.8705555,191.6372222
2032,A4,164.1666667,148.4066667,177.3
2033,A4,167.3333333,163.9866666,172.0186666
2034,A4,173.8333333,167.923,179.0483333
2035,A4,174.8333333,166.0333889,182.1180556
2036,A4,168.1666667,156.8995,177.7521667
2037,A4,165.5,148.1776666,182.6016666
2038,A4,162.8333333,150.4037222,177.1083889
2039,A4,164.8333333,138.5149444,193.239611
2040,A4,164.3333333,136.8896666,198.0216666
2041,A4,166,134.5153333,208.2193333
2042,A4,165,128.7549999,213.8949999
2043,A4,164.6666667,117.4622222,226.8008889
2044,A4,164.8333333,112.5262223,236.4808889
2045,A4,162.3333333,121.6958889,204.1612222
2046,A4,162.6666667,123.464,203.496
2047,A4,162.5,111.5291666,213.5791666
2048,A4,163.3333333,111.7744444,213.041111
2049,A4,160.8333333,92.74722226,227.8472222
2050,A4,159.5,88.682,230.318
2051,A4,156,72.33200005,237.6920001
2052,A4,155.6666667,86.65444451,219.9051112
2053,A4,153.1666667,82.25050002,223.7765
