"years","min","med","max"
2023,300,300,300
2024,310,294,316
2025,360,296,315
2026,378,321,349
2027,342,313,337
2028,347,349,334
2029,316,387,339
2030,358,414,359
2031,353,377,400
2032,374,426,396
2033,378,436,371
2034,368,397,386
2035,373,431,374
2036,358,430,366
2037,355,452,432
2038,286,435,424
2039,278,386,457
2040,273,385,468
2041,272,376,467
2042,277,394,455
2043,274,375,437
2044,266,359,425
2045,251,310,419
2046,249,305,401
2047,282,313,360
2048,285,363,345
2049,310,380,340
2050,315,373,329
2051,275,373,333
2052,264,424,355
2053,270,418,301
