years,scenario,pop_size,lcl,ucl,,,lcl_1,lcl,ucl,ucl_1,,,,,
2023,A1,150,150,150,,,0,0,0,0,,,,150,150
2024,A1,152.39625,158.2736654,157.1306935,,,-0.038566667,0.048333333,0.051666667,0.031066667,,,,158.2736654,157.1306935
2025,A1,150.2424167,167.0545431,157.5141496,,,-0.1119,-0.025,0.069,0.0484,,,,167.0545431,157.5141496
2026,A1,147.8924167,154.828571,164.9592016,,,-0.0469,0.04,0.136,0.1154,,,,154.828571,164.9592016
2027,A1,147.8003333,149.6576909,176.9268524,,,-0.012566667,0.074333333,0.217666667,0.197066667,,,,149.6576909,176.9268524
2028,A1,147.57925,137.1847515,168.5453421,,,0.070433333,0.157333333,0.162666667,0.142066667,,,,137.1847515,168.5453421
2029,A1,147.9176667,145.9306393,164.9380595,,,0.013433333,0.100333333,0.135666667,0.115066667,,,,145.9306393,164.9380595
2030,A1,145.9063333,138.4018843,171.1578561,,,0.051433333,0.138333333,0.193666667,0.173066667,,,,138.4018843,171.1578561
2031,A1,146.7783333,140.1586305,177.2201597,,,0.0451,0.132,0.228,0.2074,,,,140.1586305,177.2201597
2032,A1,148.9014167,130.0256804,193.2343318,,,0.126766667,0.213666667,0.318333333,0.297733333,,,,130.0256804,193.2343318
2033,A1,141.0308333,121.3664341,178.9775296,,,0.139433333,0.226333333,0.289666667,0.269066667,,,,121.3664341,178.9775296
2034,A1,139.581,105.1835889,187.3270074,,,0.246433333,0.333333333,0.362666667,0.342066667,,,,105.1835889,187.3270074
2035,A1,140.2273333,98.65927749,190.1576125,,,0.296433333,0.383333333,0.376666667,0.356066667,,,,98.65927749,190.1576125
2036,A1,138.2628333,102.7615465,183.5761726,,,0.256766667,0.343666667,0.348333333,0.327733333,,,,102.7615465,183.5761726
2037,A1,136.6146667,101.9464181,183.4370668,,,0.253766667,0.340666667,0.363333333,0.342733333,,,,101.9464181,183.4370668
2038,A1,144.3175,103.3650041,198.6867128,,,0.283766667,0.370666667,0.397333333,0.376733333,,,,103.3650041,198.6867128
2039,A1,148.4186667,112.2886159,195.4772786,,,0.243433333,0.330333333,0.337666667,0.317066667,,,,112.2886159,195.4772786
2040,A1,156.9516667,113.6696287,209.8025246,,,0.275766667,0.362666667,0.357333333,0.336733333,,,,113.6696287,209.8025246
2041,A1,151.6333333,106.9368811,205.2710978,,,0.294766667,0.381666667,0.374333333,0.353733333,,,,106.9368811,205.2710978
2042,A1,156.5946667,95.24609609,229.9958068,,,0.391766667,0.478666667,0.489333333,0.468733333,,,,95.24609609,229.9958068
2043,A1,153.9786667,87.9064208,231.4915275,,,0.4291,0.516,0.524,0.5034,,,,87.9064208,231.4915275
2044,A1,150.7530833,88.17547844,222.7226053,,,0.4151,0.502,0.498,0.4774,,,,88.17547844,222.7226053
2045,A1,151.551,97.4826549,211.5247824,,,0.356766667,0.443666667,0.416333333,0.395733333,,,,97.4826549,211.5247824
2046,A1,159.356,107.6556017,219.2844797,,,0.324433333,0.411333333,0.396666667,0.376066667,,,,107.6556017,219.2844797
2047,A1,165.373,108.3027777,228.1155162,,,0.3451,0.432,0.4,0.3794,,,,108.3027777,228.1155162
2048,A1,155.7429167,103.3458081,214.9356079,,,0.336433333,0.423333333,0.400666667,0.380066667,,,,103.3458081,214.9356079
2049,A1,157.5744167,97.36523206,222.2429573,,,0.3821,0.469,0.431,0.4104,,,,97.36523206,222.2429573
2050,A1,163.2194167,93.78043617,227.0490899,,,0.425433333,0.512333333,0.411666667,0.391066667,,,,93.78043617,227.0490899
2051,A1,163.7286667,98.00252224,232.9968079,,,0.401433333,0.488333333,0.443666667,0.423066667,,,,98.00252224,232.9968079
2052,A1,166.5195,85.40785155,247.3480653,,,0.4871,0.574,0.506,0.4854,,,,85.40785155,247.3480653
2053,A1,167.5538333,78.45428989,253.4642688,,,0.531766667,0.618666667,0.533333333,0.512733333,,,,78.45428989,253.4642688
2023,A2,150,163.035,146.91,,,-0.0869,0,0,-0.0206,,,,163.035,146.91
2024,A2,152.3333333,160.6456556,155.8471556,,,-0.054566667,0.032333333,0.043666667,0.023066667,,,,160.6456556,155.8471556
2025,A2,159.3333333,167.0185111,162.6368444,,,-0.048233333,0.038666667,0.041333333,0.020733333,,,,167.0185111,162.6368444
2026,A2,161,148.8015667,153.3900667,,,0.075766667,0.162666667,-0.026666667,-0.047266667,,,,148.8015667,153.3900667
2027,A2,165.8333333,151.9973056,160.0402222,,,0.083433333,0.170333333,-0.014333333,-0.034933333,,,,151.9973056,160.0402222
2028,A2,176.6666667,159.9245556,168.4928889,,,0.094766667,0.181666667,-0.025666667,-0.046266667,,,,159.9245556,168.4928889
2029,A2,179,163.7074333,178.1169333,,,0.085433333,0.172333333,0.015666667,-0.004933333,,,,163.7074333,178.1169333
2030,A2,176.8333333,163.7889278,171.6580111,,,0.073766667,0.160666667,-0.008666667,-0.029266667,,,,163.7889278,171.6580111
2031,A2,181.1666667,162.9111056,183.2923556,,,0.100766667,0.187666667,0.032333333,0.011733333,,,,162.9111056,183.2923556
2032,A2,191.5,172.4585167,229.2382667,,,0.099433333,0.186333333,0.217666667,0.197066667,,,,172.4585167,229.2382667
2033,A2,202.8333333,176.9856056,251.7296889,,,0.127433333,0.214333333,0.261666667,0.241066667,,,,176.9856056,251.7296889
2034,A2,201.1666667,167.8869944,258.1102444,,,0.165433333,0.252333333,0.303666667,0.283066667,,,,167.8869944,258.1102444
2035,A2,213,179.0407,276.2752,,,0.159433333,0.246333333,0.317666667,0.297066667,,,,179.0407,276.2752
2036,A2,210.3333333,185.3527444,254.4472444,,,0.118766667,0.205666667,0.230333333,0.209733333,,,,185.3527444,254.4472444
2037,A2,221.6666667,186.9906111,273.1081111,,,0.156433333,0.243333333,0.252666667,0.232066667,,,,186.9906111,273.1081111
2038,A2,222.3333333,196.9651,273.5589333,,,0.1141,0.201,0.251,0.2304,,,,196.9651,273.5589333
2039,A2,221.3333333,191.5049778,273.0663111,,,0.134766667,0.221666667,0.254333333,0.233733333,,,,191.5049778,273.0663111
2040,A2,221.8333333,201.7722056,263.1091222,,,0.090433333,0.177333333,0.206666667,0.186066667,,,,201.7722056,263.1091222
2041,A2,207.6666667,186.3254556,247.8986222,,,0.102766667,0.189666667,0.214333333,0.193733333,,,,186.3254556,247.8986222
2042,A2,200.1666667,156.5770389,250.3551222,,,0.217766667,0.304666667,0.271333333,0.250733333,,,,156.5770389,250.3551222
2043,A2,195.1666667,140.7607056,265.7649556,,,0.278766667,0.365666667,0.382333333,0.361733333,,,,140.7607056,265.7649556
2044,A2,180,134.082,240.012,,,0.2551,0.342,0.354,0.3334,,,,134.082,240.012
2045,A2,178.3333333,121.3677222,244.1502222,,,0.319433333,0.406333333,0.389666667,0.369066667,,,,121.3677222,244.1502222
2046,A2,179.3333333,121.8091778,240.9761778,,,0.320766667,0.407666667,0.364333333,0.343733333,,,,121.8091778,240.9761778
2047,A2,173.6666667,116.3971889,235.2720222,,,0.329766667,0.416666667,0.375333333,0.354733333,,,,116.3971889,235.2720222
2048,A2,179.3333333,121.6298444,240.0795111,,,0.321766667,0.408666667,0.359333333,0.338733333,,,,121.6298444,240.0795111
2049,A2,168.1666667,111.5337389,231.3524889,,,0.336766667,0.423666667,0.396333333,0.375733333,,,,111.5337389,231.3524889
2050,A2,171,108.7959,240.8934,,,0.363766667,0.450666667,0.429333333,0.408733333,,,,108.7959,240.8934
2051,A2,167.5,106.6249167,232.6686667,,,0.363433333,0.450333333,0.409666667,0.389066667,,,,106.6249167,232.6686667
2052,A2,166.1666667,95.41843889,241.0635222,,,0.425766667,0.512666667,0.471333333,0.450733333,,,,95.41843889,241.0635222
2053,A2,167.1666667,88.74878333,255.3303667,,,0.4691,0.556,0.548,0.5274,,,,88.74878333,255.3303667
2023,A3,150,163.035,146.91,,,-0.0869,0,0,-0.0206,,,,163.035,146.91
2024,A3,160.5,173.32395,157.9962,,,-0.0799,0.007,0.005,-0.0156,,,,173.32395,157.9962
2025,A3,157,160.6476333,164.4941333,,,-0.023233333,0.063666667,0.068333333,0.047733333,,,,160.6476333,164.4941333
2026,A3,169.3333333,158.7048444,199.4295111,,,0.062766667,0.149666667,0.198333333,0.177733333,,,,158.7048444,199.4295111
2027,A3,179.5,163.9852167,217.9249667,,,0.086433333,0.173333333,0.234666667,0.214066667,,,,163.9852167,217.9249667
2028,A3,194.8333333,176.6294056,234.3974889,,,0.093433333,0.180333333,0.223666667,0.203066667,,,,176.6294056,234.3974889
2029,A3,204.1666667,184.8184722,242.0872222,,,0.094766667,0.181666667,0.206333333,0.185733333,,,,184.8184722,242.0872222
2030,A3,211.5,193.64235,247.0461,,,0.084433333,0.171333333,0.188666667,0.168066667,,,,193.64235,247.0461
2031,A3,216,194.8824,252.8784,,,0.097766667,0.184666667,0.191333333,0.170733333,,,,194.8824,252.8784
2032,A3,221,215.0845667,245.2510667,,,0.026766667,0.113666667,0.130333333,0.109733333,,,,215.0845667,245.2510667
2033,A3,219.8333333,209.8455722,236.3354889,,,0.045433333,0.132333333,0.095666667,0.075066667,,,,209.8455722,236.3354889
2034,A3,219,207.0061,243.9076,,,0.054766667,0.141666667,0.134333333,0.113733333,,,,207.0061,243.9076
2035,A3,220.8333333,188.6431944,255.0036111,,,0.145766667,0.232666667,0.175333333,0.154733333,,,,188.6431944,255.0036111
2036,A3,222.1666667,184.5242278,266.3926444,,,0.169433333,0.256333333,0.219666667,0.199066667,,,,184.5242278,266.3926444
2037,A3,215.8333333,166.0261944,269.7341111,,,0.230766667,0.317666667,0.270333333,0.249733333,,,,166.0261944,269.7341111
2038,A3,214.1666667,163.2449722,272.1487222,,,0.237766667,0.324666667,0.291333333,0.270733333,,,,163.2449722,272.1487222
2039,A3,215,148.4001667,285.2476667,,,0.309766667,0.396666667,0.347333333,0.326733333,,,,148.4001667,285.2476667
2040,A3,219.5,159.0423833,280.3161333,,,0.275433333,0.362333333,0.297666667,0.277066667,,,,159.0423833,280.3161333
2041,A3,225.1666667,168.9275389,292.4314556,,,0.249766667,0.336666667,0.319333333,0.298733333,,,,168.9275389,292.4314556
2042,A3,218.3333333,153.5392778,293.3817778,,,0.296766667,0.383666667,0.364333333,0.343733333,,,,153.5392778,293.3817778
2043,A3,218.6666667,128.6999111,274.0039111,,,0.411433333,0.498333333,0.273666667,0.253066667,,,,128.6999111,274.0039111
2044,A3,221,136.1139,263.5204,,,0.3841,0.471,0.213,0.1924,,,,136.1139,263.5204
2045,A3,223.3333333,126.831,278.8093333,,,0.4321,0.519,0.269,0.2484,,,,126.831,278.8093333
2046,A3,221.3333333,112.7840889,285.5347556,,,0.490433333,0.577333333,0.310666667,0.290066667,,,,112.7840889,285.5347556
2047,A3,235.8333333,136.05225,299.3668333,,,0.4231,0.51,0.29,0.2694,,,,136.05225,299.3668333
