years,scenario,pop_size,lcl,ucl
2023,A1,150,150,150
2024,A1,152.39625,158.2736654,157.1306935
2025,A1,150.2424167,167.0545431,157.5141496
2026,A1,147.8924167,154.828571,164.9592016
2027,A1,147.8003333,149.6576909,176.9268524
2028,A1,147.57925,137.1847515,168.5453421
2029,A1,147.9176667,145.9306393,164.9380595
2030,A1,145.9063333,138.4018843,171.1578561
2031,A1,146.7783333,140.1586305,177.2201597
2032,A1,148.9014167,130.0256804,193.2343318
2033,A1,141.0308333,121.3664341,178.9775296
2034,A1,139.581,105.1835889,187.3270074
2035,A1,140.2273333,98.65927749,190.1576125
2036,A1,138.2628333,102.7615465,183.5761726
2037,A1,136.6146667,101.9464181,183.4370668
2038,A1,144.3175,103.3650041,198.6867128
2039,A1,148.4186667,112.2886159,195.4772786
2040,A1,146.9516667,113.6696287,209.8025246
2041,A1,145.6333333,106.9368811,205.2710978
2042,A1,146.5946667,95.24609609,229.9958068
2043,A1,143.9786667,87.9064208,231.4915275
2044,A1,144.7530833,88.17547844,222.7226053
2045,A1,141.551,97.4826549,211.5247824
2046,A1,140.356,107.6556017,219.2844797
2047,A1,140.373,108.3027777,228.1155162
2048,A1,139.7429167,103.3458081,214.9356079
2049,A1,137.5744167,97.36523206,222.2429573
2050,A1,136.2194167,93.78043617,227.0490899
2051,A1,135.7286667,98.00252224,232.9968079
2052,A1,134.5195,85.40785155,247.3480653
2053,A1,132.5538333,78.45428989,253.4642688
2023,A2,150,163.035,146.91
2024,A2,152.3333333,160.6456556,155.8471556
2025,A2,159.3333333,167.0185111,162.6368444
2026,A2,161,148.8015667,153.3900667
2027,A2,165.8333333,151.9973056,160.0402222
2028,A2,176.6666667,159.9245556,168.4928889
2029,A2,179,163.7074333,178.1169333
2030,A2,176.8333333,163.7889278,171.6580111
2031,A2,181.1666667,162.9111056,183.2923556
2032,A2,191.5,172.4585167,229.2382667
2033,A2,202.8333333,176.9856056,251.7296889
2034,A2,201.1666667,167.8869944,258.1102444
2035,A2,213,179.0407,276.2752
2036,A2,210.3333333,185.3527444,254.4472444
2037,A2,221.6666667,186.9906111,273.1081111
2038,A2,222.3333333,196.9651,273.5589333
2039,A2,221.3333333,191.5049778,273.0663111
2040,A2,221.8333333,201.7722056,263.1091222
2041,A2,207.6666667,186.3254556,247.8986222
2042,A2,200.1666667,156.5770389,250.3551222
2043,A2,195.1666667,140.7607056,265.7649556
2044,A2,180,134.082,240.012
2045,A2,178.3333333,121.3677222,244.1502222
2046,A2,179.3333333,121.8091778,240.9761778
2047,A2,173.6666667,116.3971889,235.2720222
2048,A2,179.3333333,121.6298444,240.0795111
2049,A2,168.1666667,111.5337389,231.3524889
2050,A2,171,108.7959,240.8934
2051,A2,167.5,106.6249167,232.6686667
2052,A2,166.1666667,95.41843889,241.0635222
2053,A2,167.1666667,88.74878333,255.3303667
2023,A3,150,163.035,146.91
2024,A3,160.5,173.32395,157.9962
2025,A3,157,160.6476333,164.4941333
2026,A3,169.3333333,158.7048444,199.4295111
2027,A3,179.5,163.9852167,217.9249667
2028,A3,194.8333333,176.6294056,234.3974889
2029,A3,204.1666667,184.8184722,242.0872222
2030,A3,211.5,193.64235,247.0461
2031,A3,216,194.8824,252.8784
2032,A3,221,215.0845667,245.2510667
2033,A3,219.8333333,209.8455722,236.3354889
2034,A3,219,207.0061,243.9076
2035,A3,220.8333333,188.6431944,255.0036111
2036,A3,222.1666667,184.5242278,266.3926444
2037,A3,215.8333333,166.0261944,269.7341111
2038,A3,214.1666667,163.2449722,272.1487222
2039,A3,215,148.4001667,285.2476667
2040,A3,219.5,159.0423833,280.3161333
2041,A3,225.1666667,168.9275389,292.4314556
2042,A3,218.3333333,153.5392778,293.3817778
2043,A3,218.6666667,128.6999111,274.0039111
2044,A3,221,136.1139,263.5204
2045,A3,223.3333333,126.831,278.8093333
2046,A3,221.3333333,112.7840889,285.5347556
2047,A3,235.8333333,136.05225,299.3668333
2048,A3,249.5,141.69105,323.4518
2049,A3,248.1666667,146.3107944,326.1075444
2050,A3,235,129.9315,318.989
2051,A3,227.5,113.8030833,325.9468333
