"A1","A2","A3","A4","years"
150,150,150,150,2023
152.39625,152.333333333333,160.5,149.5,2024
150.242416666667,159.333333333333,157,151.333333333333,2025
147.892416666667,161,169.333333333333,152.333333333333,2026
147.800333333333,165.833333333333,179.5,149.333333333333,2027
147.57925,176.666666666667,194.833333333333,142.666666666667,2028
147.917666666667,179,204.166666666667,141,2029
145.906333333333,176.833333333333,211.5,129,2030
146.778333333333,181.166666666667,216,121.666666666667,2031
148.901416666667,191.5,221,114.166666666667,2032
141.030833333333,202.833333333333,219.833333333333,117.333333333333,2033
139.581,201.166666666667,219,123.833333333333,2034
140.227333333333,213,220.833333333333,124.833333333333,2035
138.262833333333,210.333333333333,222.166666666667,118.166666666667,2036
136.614666666667,221.666666666667,215.833333333333,115.5,2037
144.3175,222.333333333333,214.166666666667,112.833333333333,2038
148.418666666667,221.333333333333,215,114.833333333333,2039
156.951666666667,221.833333333333,219.5,114.333333333333,2040
151.633333333333,207.666666666667,225.166666666667,116,2041
156.594666666667,200.166666666667,218.333333333333,115,2042
153.978666666667,195.166666666667,218.666666666667,117.666666666667,2043
150.753083333333,180,221,106.833333333333,2044
151.551,178.333333333333,223.333333333333,112.333333333333,2045
159.356,179.333333333333,221.333333333333,114.666666666667,2046
165.373,173.666666666667,235.833333333333,112.5,2047
155.742916666667,179.333333333333,249.5,113.333333333333,2048
157.574416666667,168.166666666667,248.166666666667,112.833333333333,2049
163.219416666667,171,235,112.5,2050
163.728666666667,167.5,227.5,106,2051
166.5195,166.166666666667,215.166666666667,108.666666666667,2052
167.553833333333,167.166666666667,219.833333333333,108.166666666667,2053
