"years","min","med","max"
2023,300,300,300
2024,307,314,298
2025,310,323,331
2026,354,339,342
2027,376,337,325
2028,377,359,357
2029,375,308,317
2030,360,320,313
2031,360,331,310
2032,346,314,327
2033,320,301,383
2034,304,319,373
2035,272,305,382
2036,264,314,396
2037,255,266,388
2038,259,270,412
2039,231,257,396
2040,221,251,405
2041,224,243,435
2042,215,257,416
2043,240,219,384
2044,224,223,359
2045,212,248,338
2046,227,236,318
2047,222,235,333
2048,217,211,326
2049,221,208,333
2050,221,203,362
2051,200,208,372
2052,201,222,374
2053,224,206,375
