"B1","B2","B3","B4","years"
150,150,150,150,2023
153.166666666667,154,150.333333333333,149.5,2024
160.666666666667,162.333333333333,156.333333333333,151.333333333333,2025
172.5,172.5,165.166666666667,152.333333333333,2026
173,172.833333333333,168.666666666667,149.333333333333,2027
182.166666666667,180.166666666667,171.166666666667,142.666666666667,2028
166.666666666667,174.166666666667,167.333333333333,141,2029
165.5,178.833333333333,172.166666666667,129,2030
166.833333333333,177.333333333333,168.666666666667,121.666666666667,2031
164.5,173.666666666667,165.833333333333,114.166666666667,2032
167.333333333333,183.166666666667,170.666666666667,117.333333333333,2033
166,193.666666666667,167.333333333333,123.833333333333,2034
159.833333333333,186.333333333333,165.666666666667,124.833333333333,2035
162.333333333333,189.666666666667,161.166666666667,118.166666666667,2036
151.5,191.5,161.666666666667,115.5,2037
156.833333333333,197.166666666667,148.666666666667,112.833333333333,2038
147.333333333333,200,152.5,114.833333333333,2039
146.166666666667,209.333333333333,153.166666666667,114.333333333333,2040
150.333333333333,202.166666666667,154.666666666667,116,2041
148,193.166666666667,151.5,115,2042
140.5,206.666666666667,148.166666666667,117.666666666667,2043
134.333333333333,201.5,154.166666666667,106.833333333333,2044
133,196.666666666667,149.333333333333,112.333333333333,2045
130.166666666667,194.666666666667,160,114.666666666667,2046
131.666666666667,190,157.666666666667,112.5,2047
125.666666666667,182.166666666667,163.833333333333,113.333333333333,2048
127,194.666666666667,168.666666666667,112.833333333333,2049
131,189.666666666667,180.833333333333,112.5,2050
130,186.833333333333,178.333333333333,106,2051
132.833333333333,188.333333333333,178.666666666667,108.666666666667,2052
134.166666666667,190,185.5,108.166666666667,2053
