"years","V2","V3","V4"
2023,220,220,220
2024,214,217,218
2025,230,225,236
2026,225,225,241
2027,240,229,241
2028,259,222,274
2029,232,231,271
2030,254,224,272
2031,219,164,282
2032,216,182,282
2033,203,170,270
2034,180,194,250
2035,166,208,225
2036,156,200,217
2037,142,217,212
2038,146,214,214
2039,160,229,222
2040,143,236,200
2041,138,267,220
2042,144,258,249
2043,136,272,249
2044,127,278,278
2045,122,265,275
2046,121,272,255
2047,128,290,265
2048,119,304,259
2049,125,263,272
2050,134,271,283
2051,152,288,266
2052,166,303,258
2053,173,328,264
