"A1","A2","A3","A4","years"
110,110,110,110,2023
109,108.166666666667,108.166666666667,104.666666666667,2024
105.833333333333,115.166666666667,115.166666666667,105.666666666667,2025
105.333333333333,115.166666666667,115.166666666667,108.666666666667,2026
114,118.333333333333,118.333333333333,106.833333333333,2027
120.833333333333,125.833333333333,125.833333333333,107.166666666667,2028
123.333333333333,122.333333333333,122.333333333333,106.5,2029
127.166666666667,125,125,101.833333333333,2030
120.333333333333,110.833333333333,110.833333333333,103.166666666667,2031
121.666666666667,113.333333333333,113.333333333333,99,2032
120.166666666667,107.166666666667,107.166666666667,98.5,2033
124.666666666667,104,104,95.5,2034
122,99.8333333333333,99.8333333333333,94.5,2035
126.166666666667,95.5,95.5,97,2036
125.666666666667,95.1666666666667,95.1666666666667,97.3333333333333,2037
130.666666666667,95.6666666666667,95.6666666666667,95.3333333333333,2038
126,101.833333333333,101.833333333333,98,2039
126,96.5,96.5,100.5,2040
128.166666666667,104.166666666667,104.166666666667,98.1666666666667,2041
119.5,108.5,108.5,98.5,2042
112.166666666667,109.5,109.5,93.3333333333333,2043
112.333333333333,113.833333333333,113.833333333333,91.5,2044
107.5,110.333333333333,110.333333333333,89.1666666666667,2045
102.666666666667,108,108,90.3333333333333,2046
108,113.833333333333,113.833333333333,90.1666666666667,2047
100.333333333333,113.666666666667,113.666666666667,89.1666666666667,2048
93.1666666666667,110,110,90.6666666666667,2049
97.5,114.666666666667,114.666666666667,92.5,2050
86.6666666666667,117.666666666667,117.666666666667,102.5,2051
81.1666666666667,121.166666666667,121.166666666667,103.833333333333,2052
81.1666666666667,127.5,127.5,103.833333333333,2053
