"years","scenario","pop_size"
2023,"base",16
2024,"base",15.1666666666667
2025,"base",16.6666666666667
2026,"base",16.5
2027,"base",17
2028,"base",17.5
2029,"base",18
2030,"base",20.8333333333333
2031,"base",19.5
2032,"base",19.6666666666667
2033,"base",19.1666666666667
2034,"base",21.8333333333333
2035,"base",22.1666666666667
2036,"base",24.3333333333333
2037,"base",26.1666666666667
2038,"base",25.5
2039,"base",25.3333333333333
2040,"base",26.6666666666667
2041,"base",26.5
2042,"base",25.3333333333333
2043,"base",23.6666666666667
2044,"base",23
2045,"base",21.5
2046,"base",22
2047,"base",21.8333333333333
2048,"base",21.6666666666667
2049,"base",21.6666666666667
2050,"base",18.3333333333333
2051,"base",19.3333333333333
2052,"base",21.5
2053,"base",23.1666666666667
2023,"removed",15
2024,"removed",14
2025,"removed",13.8333333333333
2026,"removed",14.5
2027,"removed",14.3333333333333
2028,"removed",15
2029,"removed",13.8333333333333
2030,"removed",15.1666666666667
2031,"removed",15
2032,"removed",16.5
2033,"removed",16
2034,"removed",17.1666666666667
2035,"removed",17.8333333333333
2036,"removed",18.6666666666667
2037,"removed",17.6666666666667
2038,"removed",18.5
2039,"removed",19.8333333333333
2040,"removed",18
2041,"removed",18.6666666666667
2042,"removed",20.1666666666667
2043,"removed",18.3333333333333
2044,"removed",18.3333333333333
2045,"removed",17
2046,"removed",17.1666666666667
2047,"removed",16.1666666666667
2048,"removed",16.6666666666667
2049,"removed",16.5
2050,"removed",15.6666666666667
2051,"removed",15.6666666666667
2052,"removed",15
2053,"removed",15
2023,"HS",16
2024,"HS",16.1666666666667
2025,"HS",16.5
2026,"HS",17.6666666666667
2027,"HS",18.6666666666667
2028,"HS",20.3333333333333
2029,"HS",21.5
2030,"HS",22
2031,"HS",22.5
2032,"HS",24
2033,"HS",23.3333333333333
2034,"HS",23.3333333333333
2035,"HS",23.8333333333333
2036,"HS",24.1666666666667
2037,"HS",24.5
2038,"HS",25.6666666666667
2039,"HS",24.3333333333333
2040,"HS",25.5
2041,"HS",26
2042,"HS",25.5
2043,"HS",27.8333333333333
2044,"HS",24.3333333333333
2045,"HS",24.1666666666667
2046,"HS",23.8333333333333
2047,"HS",22.1666666666667
2048,"HS",23.6666666666667
2049,"HS",21.8333333333333
2050,"HS",22.3333333333333
2051,"HS",21.3333333333333
2052,"HS",20.8333333333333
2053,"HS",18.3333333333333
2023,"HS_max",16
2024,"HS_max",16.1666666666667
2025,"HS_max",17.3333333333333
2026,"HS_max",17.6666666666667
2027,"HS_max",17.5
2028,"HS_max",17.8333333333333
2029,"HS_max",18.3333333333333
2030,"HS_max",16.8333333333333
2031,"HS_max",17.3333333333333
2032,"HS_max",16.6666666666667
2033,"HS_max",18.1666666666667
2034,"HS_max",19
2035,"HS_max",18.3333333333333
2036,"HS_max",18.6666666666667
2037,"HS_max",17.6666666666667
2038,"HS_max",17.3333333333333
2039,"HS_max",17.3333333333333
2040,"HS_max",18.1666666666667
2041,"HS_max",18.1666666666667
2042,"HS_max",17.5
2043,"HS_max",18
2044,"HS_max",17.6666666666667
2045,"HS_max",18.1666666666667
2046,"HS_max",18.6666666666667
2047,"HS_max",18.3333333333333
2048,"HS_max",18.8333333333333
2049,"HS_max",19.6666666666667
2050,"HS_max",19.3333333333333
2051,"HS_max",20.3333333333333
2052,"HS_max",20.6666666666667
2053,"HS_max",20.8333333333333
