years,scenario,pop_size
2023,base,16
2024,base,16.16666667
2025,base,17.33333333
2026,base,17.66666667
2027,base,17.5
2028,base,17.83333333
2029,base,18.33333333
2030,base,16.83333333
2031,base,17.33333333
2032,base,16.66666667
2033,base,18.16666667
2034,base,19
2035,base,18.33333333
2036,base,18.66666667
2037,base,17.66666667
2038,base,17.33333333
2039,base,17.33333333
2040,base,18.16666667
2041,base,18.16666667
2042,base,17.5
2043,base,18
2044,base,17.66666667
2045,base,18.16666667
2046,base,18.66666667
2047,base,18.33333333
2048,base,18.83333333
2049,base,19.66666667
2050,base,19.33333333
2051,base,20.33333333
2052,base,20.66666667
2053,base,20.83333333
2023,removed,15
2024,removed,14
2025,removed,13.83333333
2026,removed,14.5
2027,removed,14.33333333
2028,removed,15
2029,removed,13.83333333
2030,removed,15.16666667
2031,removed,15
2032,removed,16.5
2033,removed,16
2034,removed,17.16666667
2035,removed,17.83333333
2036,removed,18.66666667
2037,removed,17.66666667
2038,removed,18.5
2039,removed,19.83333333
2040,removed,18
2041,removed,18.66666667
2042,removed,20.16666667
2043,removed,18.33333333
2044,removed,18.33333333
2045,removed,17
2046,removed,17.16666667
2047,removed,16.16666667
2048,removed,16.66666667
2049,removed,16.5
2050,removed,15.66666667
2051,removed,15.66666667
2052,removed,15
2053,removed,15
2023,HS,16
2024,HS,15.16666667
2025,HS,16.66666667
2026,HS,16.5
2027,HS,17
2028,HS,17.5
2029,HS,18
2030,HS,20.83333333
2031,HS,19.5
2032,HS,19.66666667
2033,HS,19.16666667
2034,HS,21.83333333
2035,HS,22.16666667
2036,HS,24.33333333
2037,HS,26.16666667
2038,HS,25.5
2039,HS,25.33333333
2040,HS,26.66666667
2041,HS,26.5
2042,HS,25.33333333
2043,HS,23.66666667
2044,HS,23
2045,HS,21.5
2046,HS,22
2047,HS,21.83333333
2048,HS,21.66666667
2049,HS,21.66666667
2050,HS,18.33333333
2051,HS,19.33333333
2052,HS,21.5
2053,HS,23.16666667
2023,HS_max,16
2024,HS_max,16.16666667
2025,HS_max,16.5
2026,HS_max,17.66666667
2027,HS_max,18.66666667
2028,HS_max,20.33333333
2029,HS_max,21.5
2030,HS_max,22
2031,HS_max,22.5
2032,HS_max,24
2033,HS_max,23.33333333
2034,HS_max,23.33333333
2035,HS_max,23.83333333
2036,HS_max,24.16666667
2037,HS_max,24.5
2038,HS_max,25.66666667
2039,HS_max,24.33333333
2040,HS_max,25.5
2041,HS_max,26
2042,HS_max,25.5
2043,HS_max,27.83333333
2044,HS_max,24.33333333
2045,HS_max,24.16666667
2046,HS_max,23.83333333
2047,HS_max,22.16666667
2048,HS_max,23.66666667
2049,HS_max,21.83333333
2050,HS_max,22.33333333
2051,HS_max,21.33333333
2052,HS_max,20.83333333
2053,HS_max,18.33333333
