"years","scenario","pop_size"
2023,"base",4
2024,"base",4
2025,"base",3.5
2026,"base",3.83333333333333
2027,"base",3.83333333333333
2028,"base",3.83333333333333
2029,"base",3.83333333333333
2030,"base",3.83333333333333
2031,"base",3.66666666666667
2032,"base",3.33333333333333
2033,"base",3.16666666666667
2034,"base",2.83333333333333
2035,"base",2.66666666666667
2036,"base",2.66666666666667
2037,"base",2.66666666666667
2038,"base",2.83333333333333
2039,"base",2.66666666666667
2040,"base",2.66666666666667
2041,"base",2.5
2042,"base",2.16666666666667
2043,"base",1.83333333333333
2044,"base",1.66666666666667
2045,"base",1.66666666666667
2046,"base",1.16666666666667
2047,"base",0.666666666666667
2048,"base",0.5
2049,"base",0.333333333333333
2050,"base",0.333333333333333
2051,"base",0.333333333333333
2052,"base",0.166666666666667
2053,"base",0.166666666666667
2023,"removed",4
2024,"removed",3.66666666666667
2025,"removed",3.66666666666667
2026,"removed",3.5
2027,"removed",3.5
2028,"removed",3.33333333333333
2029,"removed",3.5
2030,"removed",3.33333333333333
2031,"removed",2.83333333333333
2032,"removed",2.33333333333333
2033,"removed",1.83333333333333
2034,"removed",1.66666666666667
2035,"removed",1.5
2036,"removed",1.16666666666667
2037,"removed",1
2038,"removed",0.666666666666667
2039,"removed",0.333333333333333
2040,"removed",0.333333333333333
2041,"removed",0.333333333333333
2042,"removed",0.166666666666667
2043,"removed",0
2044,"removed",0
2045,"removed",0
2046,"removed",0
2047,"removed",0
2048,"removed",0
2049,"removed",0
2050,"removed",0
2051,"removed",0
2052,"removed",0
2053,"removed",0
2023,"HS",4
2024,"HS",3.66666666666667
2025,"HS",3.83333333333333
2026,"HS",4.16666666666667
2027,"HS",4
2028,"HS",4
2029,"HS",4.33333333333333
2030,"HS",4.33333333333333
2031,"HS",3.5
2032,"HS",3.33333333333333
2033,"HS",3.5
2034,"HS",3.5
2035,"HS",3.33333333333333
2036,"HS",3
2037,"HS",3
2038,"HS",3.16666666666667
2039,"HS",3
2040,"HS",2.66666666666667
2041,"HS",2.16666666666667
2042,"HS",1.83333333333333
2043,"HS",1.83333333333333
2044,"HS",1.83333333333333
2045,"HS",1.66666666666667
2046,"HS",1.33333333333333
2047,"HS",1.16666666666667
2048,"HS",1.16666666666667
2049,"HS",1
2050,"HS",1
2051,"HS",1
2052,"HS",0.833333333333333
2053,"HS",0.5
2023,"HS_max",4
2024,"HS_max",3.66666666666667
2025,"HS_max",3.83333333333333
2026,"HS_max",4.16666666666667
2027,"HS_max",4
2028,"HS_max",4.16666666666667
2029,"HS_max",4.83333333333333
2030,"HS_max",4.83333333333333
2031,"HS_max",4.33333333333333
2032,"HS_max",4.16666666666667
2033,"HS_max",4.16666666666667
2034,"HS_max",4.16666666666667
2035,"HS_max",4
2036,"HS_max",3.16666666666667
2037,"HS_max",3.16666666666667
2038,"HS_max",3.33333333333333
2039,"HS_max",3.16666666666667
2040,"HS_max",2.83333333333333
2041,"HS_max",2.33333333333333
2042,"HS_max",2
2043,"HS_max",2
2044,"HS_max",2
2045,"HS_max",2
2046,"HS_max",1.66666666666667
2047,"HS_max",1.5
2048,"HS_max",1.5
2049,"HS_max",1.33333333333333
2050,"HS_max",1.33333333333333
2051,"HS_max",1.33333333333333
2052,"HS_max",1
2053,"HS_max",0.666666666666667
