"years","V2","V3","V4"
2023,114,114,114
2024,116,108,113
2025,121,103,112
2026,135,101,110
2027,117,104,125
2028,123,115,146
2029,120,113,144
2030,112,132,156
2031,118,133,159
2032,105,147,178
2033,92,119,179
2034,72,116,169
2035,74,116,154
2036,74,121,147
2037,76,126,158
2038,72,130,156
2039,72,143,170
2040,61,126,157
2041,61,137,159
2042,68,113,148
2043,69,104,130
2044,73,95,129
2045,79,84,118
2046,75,79,113
2047,84,81,111
2048,82,89,112
2049,75,102,110
2050,83,108,100
2051,82,107,92
2052,83,120,76
2053,83,117,64
