"years","V2","V3","V4"
2023,114,114,114
2024,109,108,108
2025,116,118,102
2026,113,111,107
2027,118,110,128
2028,117,116,118
2029,92,105,116
2030,95,117,119
2031,89,113,124
2032,91,114,129
2033,84,104,142
2034,72,111,142
2035,61,121,132
2036,59,130,140
2037,57,114,136
2038,56,111,138
2039,51,98,139
2040,58,88,125
2041,56,86,132
2042,60,94,139
2043,71,80,132
2044,66,87,121
2045,70,86,123
2046,66,74,126
2047,64,66,131
2048,60,65,135
2049,64,69,157
2050,61,68,157
2051,62,60,157
2052,62,67,160
2053,63,60,162
