"years","V2","V3","V4"
2023,114,114,114
2024,108,115,119
2025,110,114,133
2026,115,115,135
2027,113,110,129
2028,114,110,126
2029,112,121,135
2030,115,114,152
2031,108,127,167
2032,107,131,162
2033,107,116,149
2034,110,122,138
2035,104,126,129
2036,98,123,132
2037,92,128,130
2038,90,128,149
2039,93,121,162
2040,93,115,149
2041,82,116,135
2042,65,116,138
2043,76,128,154
2044,67,121,142
2045,61,123,137
2046,69,128,149
2047,59,112,149
2048,62,95,158
2049,60,82,151
2050,64,83,149
2051,63,82,126
2052,68,83,131
2053,69,73,140
