"years","V2","V3","V4"
2023,74,74,74
2024,71,70,76
2025,82,69,79
2026,80,81,76
2027,83,78,85
2028,93,82,103
2029,97,83,111
2030,99,88,133
2031,95,92,117
2032,97,89,140
2033,75,108,137
2034,88,105,161
2035,74,99,183
2036,65,105,147
2037,67,100,145
2038,78,108,151
2039,76,111,154
2040,77,112,149
2041,80,116,168
2042,83,115,167
2043,89,103,141
2044,100,104,118
2045,93,102,124
2046,108,131,128
2047,108,134,136
2048,97,113,126
2049,93,124,113
2050,106,140,97
2051,104,140,105
2052,110,152,106
2053,107,133,110
