"years","scenario","pop_size"
2023,"base",5
2024,"base",5.16666666666667
2025,"base",4.83333333333333
2026,"base",4.83333333333333
2027,"base",5
2028,"base",4.66666666666667
2029,"base",4.33333333333333
2030,"base",4.5
2031,"base",4.66666666666667
2032,"base",4.5
2033,"base",4.33333333333333
2034,"base",4.66666666666667
2035,"base",4.5
2036,"base",5
2037,"base",4.66666666666667
2038,"base",4.66666666666667
2039,"base",4.66666666666667
2040,"base",4.66666666666667
2041,"base",4.5
2042,"base",4.66666666666667
2043,"base",4.66666666666667
2044,"base",4.66666666666667
2045,"base",4.33333333333333
2046,"base",4.16666666666667
2047,"base",3.83333333333333
2048,"base",4
2049,"base",3.66666666666667
2050,"base",3.5
2051,"base",3
2052,"base",2.83333333333333
2053,"base",2.33333333333333
2023,"removed",5
2024,"removed",4.83333333333333
2025,"removed",4.5
2026,"removed",4.33333333333333
2027,"removed",4.5
2028,"removed",4.5
2029,"removed",4.16666666666667
2030,"removed",4.33333333333333
2031,"removed",4.66666666666667
2032,"removed",4.66666666666667
2033,"removed",4.33333333333333
2034,"removed",3.83333333333333
2035,"removed",3.83333333333333
2036,"removed",3.33333333333333
2037,"removed",3.33333333333333
2038,"removed",3.66666666666667
2039,"removed",3.66666666666667
2040,"removed",3.33333333333333
2041,"removed",3.83333333333333
2042,"removed",3.83333333333333
2043,"removed",2.66666666666667
2044,"removed",2.66666666666667
2045,"removed",2.5
2046,"removed",2.83333333333333
2047,"removed",2.66666666666667
2048,"removed",2.16666666666667
2049,"removed",1.83333333333333
2050,"removed",1.66666666666667
2051,"removed",1.5
2052,"removed",1.5
2053,"removed",1.33333333333333
2023,"HS",5
2024,"HS",5.33333333333333
2025,"HS",5.33333333333333
2026,"HS",5.66666666666667
2027,"HS",5.66666666666667
2028,"HS",5.33333333333333
2029,"HS",5.16666666666667
2030,"HS",5.16666666666667
2031,"HS",5.16666666666667
2032,"HS",4.83333333333333
2033,"HS",4.83333333333333
2034,"HS",5.5
2035,"HS",5.16666666666667
2036,"HS",5.5
2037,"HS",5.5
2038,"HS",5.16666666666667
2039,"HS",5.16666666666667
2040,"HS",4.83333333333333
2041,"HS",4.5
2042,"HS",4.33333333333333
2043,"HS",4.16666666666667
2044,"HS",3.83333333333333
2045,"HS",3.66666666666667
2046,"HS",3.5
2047,"HS",3
2048,"HS",2.66666666666667
2049,"HS",2.5
2050,"HS",2.5
2051,"HS",2.5
2052,"HS",2.33333333333333
2053,"HS",2
2023,"HS_max",5
2024,"HS_max",5.33333333333333
2025,"HS_max",5.33333333333333
2026,"HS_max",6.83333333333333
2027,"HS_max",7.33333333333333
2028,"HS_max",6.5
2029,"HS_max",6.5
2030,"HS_max",6.5
2031,"HS_max",6.33333333333333
2032,"HS_max",5.66666666666667
2033,"HS_max",5.66666666666667
2034,"HS_max",6.33333333333333
2035,"HS_max",6.66666666666667
2036,"HS_max",5.83333333333333
2037,"HS_max",5.83333333333333
2038,"HS_max",5.5
2039,"HS_max",5.5
2040,"HS_max",5.16666666666667
2041,"HS_max",4.83333333333333
2042,"HS_max",5.5
2043,"HS_max",4.83333333333333
2044,"HS_max",4.5
2045,"HS_max",4.16666666666667
2046,"HS_max",4.16666666666667
2047,"HS_max",3.66666666666667
2048,"HS_max",3.33333333333333
2049,"HS_max",3
2050,"HS_max",3
2051,"HS_max",3
2052,"HS_max",2.66666666666667
2053,"HS_max",2.33333333333333
