"years","scenario","pop_size"
2023,"base",8
2024,"base",8.16666666666667
2025,"base",7.5
2026,"base",8.16666666666667
2027,"base",8.5
2028,"base",8.5
2029,"base",8
2030,"base",8.16666666666667
2031,"base",8
2032,"base",7.83333333333333
2033,"base",7.33333333333333
2034,"base",7.16666666666667
2035,"base",7
2036,"base",6
2037,"base",5.83333333333333
2038,"base",5.5
2039,"base",5.66666666666667
2040,"base",5.33333333333333
2041,"base",4.83333333333333
2042,"base",4.66666666666667
2043,"base",4.66666666666667
2044,"base",5.16666666666667
2045,"base",4.83333333333333
2046,"base",4.33333333333333
2047,"base",4.16666666666667
2048,"base",3.33333333333333
2049,"base",3.16666666666667
2050,"base",3
2051,"base",3
2052,"base",2.66666666666667
2053,"base",2.5
2023,"removed",8
2024,"removed",7.83333333333333
2025,"removed",8.16666666666667
2026,"removed",8
2027,"removed",7.83333333333333
2028,"removed",8
2029,"removed",7.33333333333333
2030,"removed",7
2031,"removed",6.33333333333333
2032,"removed",6.83333333333333
2033,"removed",6.66666666666667
2034,"removed",7.33333333333333
2035,"removed",7
2036,"removed",6.33333333333333
2037,"removed",6
2038,"removed",5.66666666666667
2039,"removed",5
2040,"removed",4.5
2041,"removed",4.33333333333333
2042,"removed",4.66666666666667
2043,"removed",4.5
2044,"removed",3.83333333333333
2045,"removed",3.5
2046,"removed",3.66666666666667
2047,"removed",3.16666666666667
2048,"removed",2.83333333333333
2049,"removed",2.83333333333333
2050,"removed",2.33333333333333
2051,"removed",2.33333333333333
2052,"removed",1.83333333333333
2053,"removed",1.5
