"years","scenario","pop_size"
2023,"base",1
2024,"base",1
2025,"base",1
2026,"base",1
2027,"base",1
2028,"base",0.666666666666667
2029,"base",0.666666666666667
2030,"base",0.666666666666667
2031,"base",0.5
2032,"base",0.5
2033,"base",0.333333333333333
2034,"base",0.166666666666667
2035,"base",0.166666666666667
2036,"base",0.166666666666667
2037,"base",0
2038,"base",0
2039,"base",0
2040,"base",0
2041,"base",0
2042,"base",0
2043,"base",0
2044,"base",0
2045,"base",0
2046,"base",0
2047,"base",0
2048,"base",0
2049,"base",0
2050,"base",0
2051,"base",0
2052,"base",0
2053,"base",0
2023,"removed",1
2024,"removed",1
2025,"removed",1
2026,"removed",1
2027,"removed",1
2028,"removed",0.666666666666667
2029,"removed",0.666666666666667
2030,"removed",0.666666666666667
2031,"removed",0.5
2032,"removed",0.5
2033,"removed",0.333333333333333
2034,"removed",0.166666666666667
2035,"removed",0.166666666666667
2036,"removed",0.166666666666667
2037,"removed",0
2038,"removed",0
2039,"removed",0
2040,"removed",0
2041,"removed",0
2042,"removed",0
2043,"removed",0
2044,"removed",0
2045,"removed",0
2046,"removed",0
2047,"removed",0
2048,"removed",0
2049,"removed",0
2050,"removed",0
2051,"removed",0
2052,"removed",0
2053,"removed",0
2023,"HS",1
2024,"HS",1
2025,"HS",1
2026,"HS",1
2027,"HS",1
2028,"HS",0.833333333333333
2029,"HS",0.833333333333333
2030,"HS",1.16666666666667
2031,"HS",1
2032,"HS",1
2033,"HS",0.833333333333333
2034,"HS",0.666666666666667
2035,"HS",0.666666666666667
2036,"HS",0.666666666666667
2037,"HS",0.666666666666667
2038,"HS",0.666666666666667
2039,"HS",0.666666666666667
2040,"HS",0.666666666666667
2041,"HS",0.666666666666667
2042,"HS",0.666666666666667
2043,"HS",0.333333333333333
2044,"HS",0.333333333333333
2045,"HS",0.333333333333333
2046,"HS",0.333333333333333
2047,"HS",0.333333333333333
2048,"HS",0.333333333333333
2049,"HS",0.333333333333333
2050,"HS",0.333333333333333
2051,"HS",0.333333333333333
2052,"HS",0.333333333333333
2053,"HS",0
