"years","num_clutches","pop_size"
2023,"base",57
2024,"base",57
2025,"base",59.5
2026,"base",60.8333333333333
2027,"base",58.6666666666667
2028,"base",58.3333333333333
2029,"base",61.3333333333333
2030,"base",63.5
2031,"base",67
2032,"base",66.6666666666667
2033,"base",62
2034,"base",61.6666666666667
2035,"base",59.8333333333333
2036,"base",58.8333333333333
2037,"base",58.3333333333333
2038,"base",61.1666666666667
2039,"base",62.6666666666667
2040,"base",59.5
2041,"base",55.5
2042,"base",53.1666666666667
2043,"base",59.6666666666667
2044,"base",55
2045,"base",53.5
2046,"base",57.6666666666667
2047,"base",53.3333333333333
2048,"base",52.5
2049,"base",48.8333333333333
2050,"base",49.3333333333333
2051,"base",45.1666666666667
2052,"base",47
2053,"base",47
2023,"rem",57
2024,"rem",54.1666666666667
2025,"rem",56
2026,"rem",55.1666666666667
2027,"rem",59.3333333333333
2028,"rem",58.5
2029,"rem",52.1666666666667
2030,"rem",55.1666666666667
2031,"rem",54.3333333333333
2032,"rem",55.6666666666667
2033,"rem",55
2034,"rem",54.1666666666667
2035,"rem",52.3333333333333
2036,"rem",54.8333333333333
2037,"rem",51.1666666666667
2038,"rem",50.8333333333333
2039,"rem",48
2040,"rem",45.1666666666667
2041,"rem",45.6666666666667
2042,"rem",48.8333333333333
2043,"rem",47.1666666666667
2044,"rem",45.6666666666667
2045,"rem",46.5
2046,"rem",44.3333333333333
2047,"rem",43.5
2048,"rem",43.3333333333333
2049,"rem",48.3333333333333
2050,"rem",47.6666666666667
2051,"rem",46.5
2052,"rem",48.1666666666667
2053,"rem",47.5
2023,"10",57
2024,"10",56.8333333333333
2025,"10",57.6666666666667
2026,"10",58.1666666666667
2027,"10",55.8333333333333
2028,"10",58.5
2029,"10",63.1666666666667
2030,"10",60.8333333333333
2031,"10",59.5
2032,"10",57
2033,"10",58.3333333333333
2034,"10",60.5
2035,"10",59.1666666666667
2036,"10",62
2037,"10",67.1666666666667
2038,"10",63.8333333333333
2039,"10",65.1666666666667
2040,"10",66.1666666666667
2041,"10",63.3333333333333
2042,"10",58.1666666666667
2043,"10",55.3333333333333
2044,"10",54.1666666666667
2045,"10",52.3333333333333
2046,"10",52.5
2047,"10",49
2048,"10",46.5
2049,"10",48.6666666666667
2050,"10",50.5
2051,"10",52.3333333333333
2052,"10",48
2053,"10",48.5
2023,"15",57
2024,"15",56.1666666666667
2025,"15",56
2026,"15",57.6666666666667
2027,"15",57.6666666666667
2028,"15",64
2029,"15",62.8333333333333
2030,"15",66.6666666666667
2031,"15",68.3333333333333
2032,"15",71.6666666666667
2033,"15",65
2034,"15",59.5
2035,"15",57.3333333333333
2036,"15",57
2037,"15",60
2038,"15",59.6666666666667
2039,"15",64.1666666666667
2040,"15",57.3333333333333
2041,"15",59.5
2042,"15",54.8333333333333
2043,"15",50.5
2044,"15",49.5
2045,"15",46.8333333333333
2046,"15",44.5
2047,"15",46
2048,"15",47.1666666666667
2049,"15",47.8333333333333
2050,"15",48.5
2051,"15",46.8333333333333
2052,"15",46.5
2053,"15",44
2023,"20",57
2024,"20",58
2025,"20",58.1666666666667
2026,"20",64.8333333333333
2027,"20",66.1666666666667
2028,"20",71.1666666666667
2029,"20",66.6666666666667
2030,"20",71.3333333333333
2031,"20",70
2032,"20",74.1666666666667
2033,"20",73
2034,"20",77.8333333333333
2035,"20",76.1666666666667
2036,"20",71.8333333333333
2037,"20",69.3333333333333
2038,"20",69
2039,"20",60
2040,"20",60.6666666666667
2041,"20",61
2042,"20",59.5
2043,"20",59.8333333333333
2044,"20",69.6666666666667
2045,"20",72
2046,"20",74.5
2047,"20",69.6666666666667
2048,"20",70.1666666666667
2049,"20",69.8333333333333
2050,"20",75
2051,"20",78.3333333333333
2052,"20",77.1666666666667
2053,"20",76.3333333333333
2023,"25",57
2024,"25",59.5
2025,"25",63
2026,"25",66.1666666666667
2027,"25",69.8333333333333
2028,"25",69.3333333333333
2029,"25",76.3333333333333
2030,"25",80.8333333333333
2031,"25",93.3333333333333
2032,"25",96.3333333333333
2033,"25",93.3333333333333
2034,"25",94.6666666666667
2035,"25",92.6666666666667
2036,"25",90.5
2037,"25",85.8333333333333
2038,"25",89.6666666666667
2039,"25",84.1666666666667
2040,"25",85.6666666666667
2041,"25",80.1666666666667
2042,"25",82
2043,"25",87
2044,"25",83.1666666666667
2045,"25",84.3333333333333
2046,"25",87.8333333333333
2047,"25",82.1666666666667
2048,"25",78.3333333333333
2049,"25",81.5
2050,"25",78.3333333333333
2051,"25",82.6666666666667
2052,"25",79.3333333333333
2053,"25",75
2023,"30",57
2024,"30",59.5
2025,"30",65
2026,"30",66.6666666666667
2027,"30",69.5
2028,"30",70.5
2029,"30",74.1666666666667
2030,"30",73.3333333333333
2031,"30",75.1666666666667
2032,"30",75.3333333333333
2033,"30",79.3333333333333
2034,"30",79.8333333333333
2035,"30",73.8333333333333
2036,"30",75.5
2037,"30",78.3333333333333
2038,"30",80.1666666666667
2039,"30",82.3333333333333
2040,"30",89.3333333333333
2041,"30",94.3333333333333
2042,"30",88.5
2043,"30",92.8333333333333
2044,"30",88.5
2045,"30",86.8333333333333
2046,"30",79.1666666666667
2047,"30",81.8333333333333
2048,"30",79.3333333333333
2049,"30",82
2050,"30",84.5
2051,"30",82.5
2052,"30",82.5
2053,"30",77.8333333333333
2023,"35",57
2024,"35",65
2025,"35",68.1666666666667
2026,"35",75.3333333333333
2027,"35",77.3333333333333
2028,"35",79.5
2029,"35",84.6666666666667
2030,"35",83.3333333333333
2031,"35",84.3333333333333
2032,"35",85
2033,"35",84.6666666666667
2034,"35",85.1666666666667
2035,"35",91.1666666666667
2036,"35",89
2037,"35",81.3333333333333
2038,"35",84.3333333333333
2039,"35",87.8333333333333
2040,"35",88.6666666666667
2041,"35",87.1666666666667
2042,"35",95.1666666666667
2043,"35",83.6666666666667
2044,"35",81
2045,"35",79.6666666666667
2046,"35",73.6666666666667
2047,"35",76.5
2048,"35",75.3333333333333
2049,"35",70.1666666666667
2050,"35",73.8333333333333
2051,"35",70.1666666666667
2052,"35",63.6666666666667
2053,"35",61
