"years","scenario","pop_size"
2023,"base",57
2024,"base",57
2025,"base",59.5
2026,"base",60.8333333333333
2027,"base",58.6666666666667
2028,"base",58.3333333333333
2029,"base",61.3333333333333
2030,"base",63.5
2031,"base",67
2032,"base",66.6666666666667
2033,"base",62
2034,"base",61.6666666666667
2035,"base",59.8333333333333
2036,"base",58.8333333333333
2037,"base",58.3333333333333
2038,"base",61.1666666666667
2039,"base",62.6666666666667
2040,"base",59.5
2041,"base",55.5
2042,"base",53.1666666666667
2043,"base",59.6666666666667
2044,"base",55
2045,"base",53.5
2046,"base",57.6666666666667
2047,"base",53.3333333333333
2048,"base",52.5
2049,"base",48.8333333333333
2050,"base",49.3333333333333
2051,"base",45.1666666666667
2052,"base",47
2053,"base",47
2023,"removed",57
2024,"removed",54.1666666666667
2025,"removed",56
2026,"removed",55.1666666666667
2027,"removed",59.3333333333333
2028,"removed",58.5
2029,"removed",52.1666666666667
2030,"removed",55.1666666666667
2031,"removed",54.3333333333333
2032,"removed",55.6666666666667
2033,"removed",55
2034,"removed",54.1666666666667
2035,"removed",52.3333333333333
2036,"removed",54.8333333333333
2037,"removed",51.1666666666667
2038,"removed",50.8333333333333
2039,"removed",48
2040,"removed",45.1666666666667
2041,"removed",45.6666666666667
2042,"removed",48.8333333333333
2043,"removed",47.1666666666667
2044,"removed",45.6666666666667
2045,"removed",46.5
2046,"removed",44.3333333333333
2047,"removed",43.5
2048,"removed",43.3333333333333
2049,"removed",43.33333
2050,"removed",42.66667
2051,"removed",41.66667
2052,"removed",41.33333
2053,"removed",41.16667
