"years","num_clutches","pop_size"
2023,"base",37
2024,"base",38.3333333333333
2025,"base",38.5
2026,"base",39
2027,"base",37.3333333333333
2028,"base",37.1666666666667
2029,"base",36.8333333333333
2030,"base",36.1666666666667
2031,"base",34.5
2032,"base",33.6666666666667
2033,"base",35.1666666666667
2034,"base",30.8333333333333
2035,"base",31.3333333333333
2036,"base",32.5
2037,"base",34.3333333333333
2038,"base",35.1666666666667
2039,"base",31
2040,"base",29.8333333333333
2041,"base",31.1666666666667
2042,"base",29.8333333333333
2043,"base",28.8333333333333
2044,"base",27.1666666666667
2045,"base",26.6666666666667
2046,"base",27.6666666666667
2047,"base",27.3333333333333
2048,"base",27.6666666666667
2049,"base",29
2050,"base",30.3333333333333
2051,"base",28.6666666666667
2052,"base",28.1666666666667
2053,"base",29.6666666666667
2023,"rem",37
2024,"rem",36.5
2025,"rem",36.8333333333333
2026,"rem",39.8333333333333
2027,"rem",36.8333333333333
2028,"rem",34.1666666666667
2029,"rem",33.6666666666667
2030,"rem",32
2031,"rem",32.1666666666667
2032,"rem",31.8333333333333
2033,"rem",32.3333333333333
2034,"rem",29.8333333333333
2035,"rem",28
2036,"rem",29
2037,"rem",27.5
2038,"rem",29.3333333333333
2039,"rem",26.6666666666667
2040,"rem",28.3333333333333
2041,"rem",28.8333333333333
2042,"rem",30.1666666666667
2043,"rem",34.5
2044,"rem",34
2045,"rem",34.5
2046,"rem",33.6666666666667
2047,"rem",33.1666666666667
2048,"rem",30.6666666666667
2049,"rem",32
2050,"rem",32.1666666666667
2051,"rem",32.1666666666667
2052,"rem",32.5
2053,"rem",31
2023,"10",37
2024,"10",37.3333333333333
2025,"10",36.6666666666667
2026,"10",39.3333333333333
2027,"10",40
2028,"10",38.5
2029,"10",38
2030,"10",35.5
2031,"10",33.5
2032,"10",33.1666666666667
2033,"10",33.3333333333333
2034,"10",32
2035,"10",33
2036,"10",30.3333333333333
2037,"10",32.5
2038,"10",31.5
2039,"10",34.3333333333333
2040,"10",36.3333333333333
2041,"10",37.8333333333333
2042,"10",39
2043,"10",39.8333333333333
2044,"10",37.1666666666667
2045,"10",37.6666666666667
2046,"10",37.6666666666667
2047,"10",39.5
2048,"10",41.8333333333333
2049,"10",43.3333333333333
2050,"10",41
2051,"10",43.1666666666667
2052,"10",44.1666666666667
2053,"10",40.3333333333333
2023,"15",37
2024,"15",37.8333333333333
2025,"15",40.5
2026,"15",40.3333333333333
2027,"15",39.6666666666667
2028,"15",40.5
2029,"15",40.5
2030,"15",41
2031,"15",43.5
2032,"15",44.5
2033,"15",46.1666666666667
2034,"15",43.8333333333333
2035,"15",45.1666666666667
2036,"15",41.1666666666667
2037,"15",39.8333333333333
2038,"15",36.1666666666667
2039,"15",38.1666666666667
2040,"15",40.8333333333333
2041,"15",38.3333333333333
2042,"15",38.8333333333333
2043,"15",39
2044,"15",41.5
2045,"15",40.3333333333333
2046,"15",37.8333333333333
2047,"15",35.5
2048,"15",34.3333333333333
2049,"15",34.3333333333333
2050,"15",36.3333333333333
2051,"15",35.1666666666667
2052,"15",36.8333333333333
2053,"15",36.8333333333333
2023,"20",37
2024,"20",37.1666666666667
2025,"20",39
2026,"20",39.5
2027,"20",41.3333333333333
2028,"20",44
2029,"20",42.6666666666667
2030,"20",41.5
2031,"20",41
2032,"20",37.8333333333333
2033,"20",39.6666666666667
2034,"20",41.3333333333333
2035,"20",39
2036,"20",37.1666666666667
2037,"20",40
2038,"20",38.6666666666667
2039,"20",37.6666666666667
2040,"20",41.6666666666667
2041,"20",37.8333333333333
2042,"20",38.5
2043,"20",37.3333333333333
2044,"20",40.5
2045,"20",41.5
2046,"20",37.6666666666667
2047,"20",36.1666666666667
2048,"20",37
2049,"20",39.8333333333333
2050,"20",39.6666666666667
2051,"20",40.1666666666667
2052,"20",38.1666666666667
2053,"20",42.6666666666667
2023,"25",37
2024,"25",36.1666666666667
2025,"25",36
2026,"25",41.8333333333333
2027,"25",46.5
2028,"25",49.8333333333333
2029,"25",54.5
2030,"25",55.8333333333333
2031,"25",55
2032,"25",48.3333333333333
2033,"25",51.6666666666667
2034,"25",55.3333333333333
2035,"25",60
2036,"25",60.1666666666667
2037,"25",58.3333333333333
2038,"25",58
2039,"25",50.6666666666667
2040,"25",46.6666666666667
2041,"25",44.5
2042,"25",42.6666666666667
2043,"25",41.3333333333333
2044,"25",40.8333333333333
2045,"25",39.6666666666667
2046,"25",43.1666666666667
2047,"25",44.3333333333333
2048,"25",45.1666666666667
2049,"25",46.5
2050,"25",50.8333333333333
2051,"25",49.6666666666667
2052,"25",39.3333333333333
2053,"25",41
2023,"30",37
2024,"30",36.1666666666667
2025,"30",38.3333333333333
2026,"30",39.5
2027,"30",41
2028,"30",46.3333333333333
2029,"30",48.5
2030,"30",53.3333333333333
2031,"30",50.6666666666667
2032,"30",54.3333333333333
2033,"30",53.3333333333333
2034,"30",59
2035,"30",59.3333333333333
2036,"30",52.8333333333333
2037,"30",52
2038,"30",56.1666666666667
2039,"30",56.8333333333333
2040,"30",56.3333333333333
2041,"30",60.6666666666667
2042,"30",60.8333333333333
2043,"30",55.5
2044,"30",53.6666666666667
2045,"30",53.1666666666667
2046,"30",61.1666666666667
2047,"30",63
2048,"30",56
2049,"30",55
