"years","scenario","pop_size"
2023,"base",37
2024,"base",38.3333333333333
2025,"base",38.5
2026,"base",39
2027,"base",37.3333333333333
2028,"base",37.1666666666667
2029,"base",36.8333333333333
2030,"base",36.1666666666667
2031,"base",34.5
2032,"base",33.6666666666667
2033,"base",35.1666666666667
2034,"base",30.8333333333333
2035,"base",31.3333333333333
2036,"base",32.5
2037,"base",34.3333333333333
2038,"base",35.1666666666667
2039,"base",31
2040,"base",29.8333333333333
2041,"base",31.1666666666667
2042,"base",29.8333333333333
2043,"base",28.8333333333333
2044,"base",27.1666666666667
2045,"base",26.6666666666667
2046,"base",27.6666666666667
2047,"base",27.3333333333333
2048,"base",27.6666666666667
2049,"base",29
2050,"base",30.3333333333333
2051,"base",28.6666666666667
2052,"base",28.1666666666667
2053,"base",29.6666666666667
2023,"removed",37
2024,"removed",36.5
2025,"removed",36.8333333333333
2026,"removed",39.8333333333333
2027,"removed",36.8333333333333
2028,"removed",34.1666666666667
2029,"removed",33.6666666666667
2030,"removed",32
2031,"removed",32.1666666666667
2032,"removed",31.8333333333333
2033,"removed",32.3333333333333
2034,"removed",29.8333333333333
2035,"removed",28
2036,"removed",29
2037,"removed",27.5
2038,"removed",29.3333333333333
2039,"removed",26.6666666666667
2040,"removed",28.3333333333333
2041,"removed",28.8333333333333
2042,"removed",29.16667
2043,"removed",29.16667
2044,"removed",26.33333
2045,"removed",26.16667
2046,"removed",26.33333
2047,"removed",25.83333
2048,"removed",25.66667
2049,"removed",25.16667
2050,"removed",25.16667
2051,"removed",24.33333
2052,"removed",24.33333
2053,"removed",23.16667
